step,layer,split,split_seed,num_parts,part_tokens,num_pairs,mean_pairwise_correlation,min_pairwise_correlation,stdev_pairwise_correlation,mean_pairwise_linf,bias_correlation_full,mean_bias_correlation_parts
0,2,sequence,,4,8192,6,0.6986470946361115,0.5411594157431453,0.10533847603193448,0.11090095605080326,nan,nan
0,3,sequence,,4,8192,6,0.6231106042732037,0.4318493234680615,0.11044397952500311,0.14343206126553318,nan,nan
0,4,sequence,,4,8192,6,0.6071290895960239,0.46073057361017544,0.10347412401976055,0.18274907550464073,nan,nan
0,5,sequence,,4,8192,6,0.5223682525670122,0.41208358583932186,0.08008225385741133,0.2163169183768332,nan,nan
0,6,sequence,,4,8192,6,0.5671439870200298,0.47797271665907487,0.07375955823679839,0.21206365409307182,nan,nan
0,7,sequence,,4,8192,6,0.6023596221898292,0.4710397155462805,0.0733736639816337,0.23145858120794097,nan,nan
0,8,sequence,,4,8192,6,0.5091776029597156,0.3936133422113618,0.13075025813517469,0.22844892530702055,nan,nan
0,9,sequence,,4,8192,6,0.6106656923527528,0.5086406213915489,0.05894126737523373,0.25310172722674906,nan,nan
25,2,sequence,,4,8192,6,0.8797560213295307,0.7740905543475054,0.06142442046118968,0.08479289477691054,0.6985601657946382,0.6730475639915896
25,3,sequence,,4,8192,6,0.9203291874441044,0.8392530311101594,0.049990731126293986,0.06475579148779313,0.7070822425827973,0.6883968328615835
25,4,sequence,,4,8192,6,0.8597205986132593,0.7133812537374276,0.0910961693976646,0.10577355513426785,0.6410657783615377,0.6055016487867029
25,5,sequence,,4,8192,6,0.8774345563825513,0.7305935600373927,0.09442276500885365,0.13508336571976542,0.6531248761207409,0.6386917215355944
25,6,sequence,,4,8192,6,0.9193641900010209,0.8210087552621022,0.058528196360379016,0.109222406502037,0.6763050096419232,0.6645850610838688
25,7,sequence,,4,8192,6,0.9380366706293787,0.8580859559870204,0.04638648737034587,0.07550062291556969,0.699712670925042,0.684383590138584
