run,layer,lag_dumps,lag_steps,t,c_forward,c_backward,asymmetry
A,2,-4,-100,175,0.8382347334737786,0.5162158203877545,0.32201891308602415
A,2,-4,-100,200,0.8085011112464762,0.7607863847173213,0.04771472652915487
A,2,-4,-100,225,0.8141933599225386,0.7862760057165863,0.027917354205952316
A,2,-4,-100,250,0.792141936595273,0.8011059141456632,-0.008963977550390245
A,2,-4,-100,275,0.8093067506331092,0.8556412904604286,-0.04633453982731939
A,2,-4,-100,300,0.7708214860344965,0.8231190901812301,-0.05229760414673357
A,2,-4,-100,325,0.7891828130935802,0.8629320146843329,-0.07374920159075271
A,2,-4,-100,350,0.7737890191491232,0.8597600368861954,-0.08597101773707216
A,2,-4,-100,375,0.7814192860507778,0.8583483176050217,-0.07692903155424391
A,2,-4,-100,400,0.7968250820572429,0.8719598940257132,-0.07513481196847027
A,2,-3,-75,150,0.8051225512971734,0.6684067051937432,0.13671584610343013
A,2,-3,-75,175,0.8490398174218028,0.8063453463536598,0.04269447106814295
A,2,-3,-75,200,0.8346848577732147,0.8478675325171794,-0.013182674743964728
A,2,-3,-75,225,0.8275426054952724,0.8533069521795801,-0.025764346684307715
A,2,-3,-75,250,0.8121139200801638,0.8400975744496385,-0.027983654369474698
A,2,-3,-75,275,0.8214182147922763,0.8752604932506288,-0.053842278458352544
A,2,-3,-75,300,0.7904266349219405,0.8325780051892744,-0.04215137026733384
A,2,-3,-75,325,0.8084706374109795,0.8723660328840297,-0.06389539547305023
A,2,-3,-75,350,0.7790211018931013,0.8473344732032617,-0.06831337131016046
A,2,-3,-75,375,0.7933895654591794,0.8605844632110057,-0.0671948977518263
A,2,-3,-75,400,0.7977641721399469,0.8650748414343108,-0.06731066929436391
A,2,-3,-75,425,0.7852841549285127,0.8375240807145701,-0.052239925786057406
A,2,-2,-50,125,0.669056716284274,0.8194442858260499,-0.1503875695417759
A,2,-2,-50,150,0.8589276505962992,0.903718593664651,-0.04479094306835185
A,2,-2,-50,175,0.8771046765612618,0.8901079819408841,-0.013003305379622354
A,2,-2,-50,200,0.848996331044129,0.8900867141473443,-0.04109038310321533
A,2,-2,-50,225,0.8466379177413862,0.8767115871926672,-0.030073669451280982
A,2,-2,-50,250,0.8260933774940692,0.8603252460657785,-0.034231868571709345
A,2,-2,-50,275,0.8417131590913229,0.8728068262448447,-0.031093667153521798
A,2,-2,-50,300,0.8010140841619421,0.8458834472321325,-0.044869363070190404
A,2,-2,-50,325,0.8266246753493224,0.8606369545853749,-0.034012279236052545
A,2,-2,-50,350,0.7987794737024018,0.8481618331252782,-0.04938235942287639
A,2,-2,-50,375,0.7971004792557109,0.8544500530400788,-0.05734957378436789
A,2,-2,-50,400,0.8073333895818527,0.8497281585204097,-0.04239476893855698
A,2,-2,-50,425,0.7880229979008482,0.8321375846807245,-0.04411458677987634
A,2,-2,-50,450,0.8026043973532396,0.8326011202207577,-0.02999672286751809
A,2,-1,-25,100,0.6957069711451269,0.9145929238146273,-0.2188859526695004
A,2,-1,-25,125,0.7634919562899766,0.92102232658019,-0.15753037029021344
A,2,-1,-25,150,0.8568877654669822,0.9334144791523533,-0.07652671368537112
A,2,-1,-25,175,0.9121139205895207,0.9169539296134948,-0.004840009023974079
A,2,-1,-25,200,0.8725313162759214,0.8937016691987143,-0.0211703529227929
A,2,-1,-25,225,0.8600718024190136,0.8918255165623076,-0.031753714143293976
A,2,-1,-25,250,0.8355204582857116,0.8531894140949712,-0.017668955809259534
A,2,-1,-25,275,0.8518584081934891,0.8749851670170279,-0.023126758823538762
A,2,-1,-25,300,0.8201122671490136,0.8319421992708663,-0.011829932121852682
A,2,-1,-25,325,0.8343392488170608,0.8596261714666252,-0.025286922649564447
A,2,-1,-25,350,0.8139206459447247,0.8415421927477347,-0.02762154680300999
A,2,-1,-25,375,0.813783865491406,0.8382126725993545,-0.02442880710794848
A,2,-1,-25,400,0.8120745396491342,0.8452162152836471,-0.03314167563451287
A,2,-1,-25,425,0.7952072799078924,0.8166029874253047,-0.021395707517412266
A,2,-1,-25,450,0.8050885703512529,0.8181358169610404,-0.01304724660978751
A,2,-1,-25,475,0.825253751335762,0.8351668001774618,-0.009913048841699856
A,2,0,0,75,0.8946419610773011,0.8946419610773011,0.0
A,2,0,0,100,0.8394538066458029,0.8394538066458029,0.0
A,2,0,0,125,0.8703315665788758,0.8703315665788758,0.0
A,2,0,0,150,0.9090656496532543,0.9090656496532543,0.0
A,2,0,0,175,0.9124406809782624,0.9124406809782624,0.0
A,2,0,0,200,0.9064280552027033,0.9064280552027033,0.0
A,2,0,0,225,0.8752020518875577,0.8752020518875577,0.0
A,2,0,0,250,0.8566370166042164,0.8566370166042164,0.0
A,2,0,0,275,0.8642554555347942,0.8642554555347942,0.0
A,2,0,0,300,0.83285855903684,0.83285855903684,0.0
A,2,0,0,325,0.8561204272980186,0.8561204272980186,0.0
A,2,0,0,350,0.8286424042444566,0.8286424042444566,0.0
A,2,0,0,375,0.8336294624359226,0.8336294624359226,0.0
A,2,0,0,400,0.8285566783950026,0.8285566783950026,0.0
A,2,0,0,425,0.802491869668548,0.802491869668548,0.0
A,2,0,0,450,0.8160665934413535,0.8160665934413535,0.0
A,2,0,0,475,0.83072508790991,0.83072508790991,0.0
A,2,0,0,500,0.8709669878819853,0.8709669878819853,0.0
A,2,1,25,100,0.9145929238146273,0.6957069711451269,0.2188859526695004
A,2,1,25,125,0.92102232658019,0.7634919562899766,0.15753037029021344
A,2,1,25,150,0.9334144791523533,0.8568877654669822,0.07652671368537112
A,2,1,25,175,0.9169539296134948,0.9121139205895207,0.004840009023974079
A,2,1,25,200,0.8937016691987143,0.8725313162759214,0.0211703529227929
A,2,1,25,225,0.8918255165623076,0.8600718024190136,0.031753714143293976
A,2,1,25,250,0.8531894140949712,0.8355204582857116,0.017668955809259534
A,2,1,25,275,0.8749851670170279,0.8518584081934891,0.023126758823538762
A,2,1,25,300,0.8319421992708663,0.8201122671490136,0.011829932121852682
A,2,1,25,325,0.8596261714666252,0.8343392488170608,0.025286922649564447
A,2,1,25,350,0.8415421927477347,0.8139206459447247,0.02762154680300999
A,2,1,25,375,0.8382126725993545,0.813783865491406,0.02442880710794848
A,2,1,25,400,0.8452162152836471,0.8120745396491342,0.03314167563451287
A,2,1,25,425,0.8166029874253047,0.7952072799078924,0.021395707517412266
A,2,1,25,450,0.8181358169610404,0.8050885703512529,0.01304724660978751
A,2,1,25,475,0.8351668001774618,0.825253751335762,0.009913048841699856
A,2,2,50,125,0.8194442858260499,0.669056716284274,0.1503875695417759
A,2,2,50,150,0.903718593664651,0.8589276505962992,0.04479094306835185
A,2,2,50,175,0.8901079819408841,0.8771046765612618,0.013003305379622354
A,2,2,50,200,0.8900867141473443,0.848996331044129,0.04109038310321533
A,2,2,50,225,0.8767115871926672,0.8466379177413862,0.030073669451280982
A,2,2,50,250,0.8603252460657785,0.8260933774940692,0.034231868571709345
A,2,2,50,275,0.8728068262448447,0.8417131590913229,0.031093667153521798
A,2,2,50,300,0.8458834472321325,0.8010140841619421,0.044869363070190404
A,2,2,50,325,0.8606369545853749,0.8266246753493224,0.034012279236052545
A,2,2,50,350,0.8481618331252782,0.7987794737024018,0.04938235942287639
A,2,2,50,375,0.8544500530400788,0.7971004792557109,0.05734957378436789
A,2,2,50,400,0.8497281585204097,0.8073333895818527,0.04239476893855698
A,2,2,50,425,0.8321375846807245,0.7880229979008482,0.04411458677987634
A,2,2,50,450,0.8326011202207577,0.8026043973532396,0.02999672286751809
A,2,3,75,150,0.6684067051937432,0.8051225512971734,-0.13671584610343013
A,2,3,75,175,0.8063453463536598,0.8490398174218028,-0.04269447106814295
A,2,3,75,200,0.8478675325171794,0.8346848577732147,0.013182674743964728
A,2,3,75,225,0.8533069521795801,0.8275426054952724,0.025764346684307715
A,2,3,75,250,0.8400975744496385,0.8121139200801638,0.027983654369474698
A,2,3,75,275,0.8752604932506288,0.8214182147922763,0.053842278458352544
A,2,3,75,300,0.8325780051892744,0.7904266349219405,0.04215137026733384
A,2,3,75,325,0.8723660328840297,0.8084706374109795,0.06389539547305023
A,2,3,75,350,0.8473344732032617,0.7790211018931013,0.06831337131016046
A,2,3,75,375,0.8605844632110057,0.7933895654591794,0.0671948977518263
A,2,3,75,400,0.8650748414343108,0.7977641721399469,0.06731066929436391
A,2,3,75,425,0.8375240807145701,0.7852841549285127,0.052239925786057406
A,2,4,100,175,0.5162158203877545,0.8382347334737786,-0.32201891308602415
A,2,4,100,200,0.7607863847173213,0.8085011112464762,-0.04771472652915487
A,2,4,100,225,0.7862760057165863,0.8141933599225386,-0.027917354205952316
A,2,4,100,250,0.8011059141456632,0.792141936595273,0.008963977550390245
A,2,4,100,275,0.8556412904604286,0.8093067506331092,0.04633453982731939
A,2,4,100,300,0.8231190901812301,0.7708214860344965,0.05229760414673357
A,2,4,100,325,0.8629320146843329,0.7891828130935802,0.07374920159075271
A,2,4,100,350,0.8597600368861954,0.7737890191491232,0.08597101773707216
A,2,4,100,375,0.8583483176050217,0.7814192860507778,0.07692903155424391
A,2,4,100,400,0.8719598940257132,0.7968250820572429,0.07513481196847027
B,2,-4,-100,150,0.7168852108957353,0.243681940388517,0.47320327050721833
B,2,-4,-100,175,0.7815512118815592,0.48078279209619984,0.30076841978535934
B,2,-4,-100,200,0.7911836865774065,0.6268387201084321,0.16434496646897434
B,2,-4,-100,225,0.7908627269674726,0.765325945690293,0.02553678127717962
B,2,-4,-100,250,0.8357075242243359,0.820856866271368,0.014850657952967916
B,2,-4,-100,275,0.8224844429033409,0.8539514128995233,-0.03146696999618237
B,2,-4,-100,300,0.809082671113147,0.8445956315889698,-0.03551296047582275
B,2,-4,-100,325,0.8057769585714948,0.8705626248804889,-0.06478566630899407
B,2,-4,-100,350,0.7875685325897938,0.8387512767308863,-0.051182744141092584
B,2,-4,-100,375,0.8250375256276518,0.8501728239194785,-0.025135298291826702
B,2,-4,-100,400,0.8160045661496723,0.8931246321067637,-0.07712006595709142
B,2,-3,-75,125,0.6553595647521919,0.45701230789422237,0.19834725685796956
B,2,-3,-75,150,0.7774338721630137,0.565236311201808,0.2121975609612058
B,2,-3,-75,175,0.79355141497929,0.7367925128997355,0.056758902079554585
B,2,-3,-75,200,0.8130640926136371,0.8318895048843219,-0.018825412270684794
B,2,-3,-75,225,0.8114636312446124,0.8444406888281873,-0.03297705758357494
B,2,-3,-75,250,0.8476044670382031,0.8522021919054009,-0.004597724867197783
B,2,-3,-75,275,0.841669908533756,0.8859575778891754,-0.04428766935541939
B,2,-3,-75,300,0.8238105444081647,0.8569392863523855,-0.033128741944220774
B,2,-3,-75,325,0.8290037586848186,0.8782193336288435,-0.049215574944024953
B,2,-3,-75,350,0.7679409695808073,0.8209941109010074,-0.053053141320200115
B,2,-3,-75,375,0.8331251309842862,0.8812045783104117,-0.04807944732612546
B,2,-3,-75,400,0.8377368698273598,0.8787244150310236,-0.04098754520366377
B,2,-3,-75,425,0.8237340805830315,0.8784505049221318,-0.05471642433910029
B,2,-2,-50,100,0.4878756351177243,0.7553417967492455,-0.2674661616315212
B,2,-2,-50,125,0.7382509346806425,0.7662811842085069,-0.02803024952786437
B,2,-2,-50,150,0.8164304736230406,0.802659765085764,0.013770708537276577
B,2,-2,-50,175,0.8436423300374345,0.8950343887909811,-0.05139205875354658
B,2,-2,-50,200,0.8408070538129497,0.8927358695834752,-0.05192881577052544
B,2,-2,-50,225,0.8196501925857097,0.8639760888076571,-0.04432589622194738
B,2,-2,-50,250,0.8633650191739481,0.8838992117182856,-0.020534192544337415
B,2,-2,-50,275,0.8497675989457348,0.887069232015008,-0.037301633069273143
B,2,-2,-50,300,0.8434508464181293,0.8640634202043176,-0.020612573786188304
B,2,-2,-50,325,0.8462444820859494,0.8624401141627903,-0.016195632076840938
B,2,-2,-50,350,0.7939823638400323,0.8520403678860797,-0.05805800404604744
B,2,-2,-50,375,0.8119152837228621,0.8701083402491432,-0.05819305652628104
B,2,-2,-50,400,0.8414042575104642,0.8741298507884612,-0.032725593277996956
B,2,-2,-50,425,0.8458091251245813,0.8652678439046929,-0.019458718780111628
B,2,-2,-50,450,0.8091769980958369,0.8371546372385515,-0.027977639142714672
B,2,-1,-25,75,0.723327166919617,0.9337739898649203,-0.21044682294530337
B,2,-1,-25,100,0.6370366792336452,0.9314585140048368,-0.29442183477119166
B,2,-1,-25,125,0.8086864835581458,0.9315211285367639,-0.12283464497861818
B,2,-1,-25,150,0.8681765139802318,0.921337644223979,-0.053161130243747245
B,2,-1,-25,175,0.8736257426846002,0.9209898879570336,-0.04736414527243338
B,2,-1,-25,200,0.8744013416947127,0.9001756172093491,-0.025774275514636402
B,2,-1,-25,225,0.8410855672068965,0.8770434693373678,-0.03595790213047123
B,2,-1,-25,250,0.8569456718930886,0.8856892116124904,-0.0287435397194018
B,2,-1,-25,275,0.8680510475658447,0.8807494041467402,-0.012698356580895465
B,2,-1,-25,300,0.8533886819702241,0.8444611234443682,0.008927558525855916
B,2,-1,-25,325,0.865916000869313,0.8859785036882658,-0.020062502818952832
B,2,-1,-25,350,0.8109371069936347,0.8404546468550537,-0.029517539861418918
B,2,-1,-25,375,0.8368985314913909,0.864837360845404,-0.02793882935401304
B,2,-1,-25,400,0.8282111857365291,0.8604033150212691,-0.03219212928474002
B,2,-1,-25,425,0.8537105970741098,0.8567089788413256,-0.0029983817672157853
B,2,-1,-25,450,0.8285472433606044,0.8183444896712747,0.010202753689329658
B,2,-1,-25,475,0.849933141044034,0.8738705157361156,-0.02393737469208168
B,2,0,0,50,0.8970713026992854,0.8970713026992854,0.0
B,2,0,0,75,0.9090258234691058,0.9090258234691058,0.0
B,2,0,0,100,0.9132054959521058,0.9132054959521058,0.0
B,2,0,0,125,0.9024776327722003,0.9024776327722003,0.0
B,2,0,0,150,0.916906600024163,0.916906600024163,0.0
B,2,0,0,175,0.9159847522372806,0.9159847522372806,0.0
B,2,0,0,200,0.9011620899717736,0.9011620899717736,0.0
B,2,0,0,225,0.8695830793941366,0.8695830793941366,0.0
B,2,0,0,250,0.8806245087281516,0.8806245087281516,0.0
B,2,0,0,275,0.8665382271142247,0.8665382271142247,0.0
B,2,0,0,300,0.8721924221342452,0.8721924221342452,0.0
B,2,0,0,325,0.8771177022329057,0.8771177022329057,0.0
B,2,0,0,350,0.8348044819965946,0.8348044819965946,0.0
B,2,0,0,375,0.8555225440850408,0.8555225440850408,0.0
B,2,0,0,400,0.8562458386521397,0.8562458386521397,0.0
B,2,0,0,425,0.8351389516269749,0.8351389516269749,0.0
B,2,0,0,450,0.8412866492791913,0.8412866492791913,0.0
B,2,0,0,475,0.8710933375688105,0.8710933375688105,0.0
B,2,0,0,500,0.8363952924633342,0.8363952924633342,0.0
B,2,1,25,75,0.9337739898649203,0.723327166919617,0.21044682294530337
B,2,1,25,100,0.9314585140048368,0.6370366792336452,0.29442183477119166
B,2,1,25,125,0.9315211285367639,0.8086864835581458,0.12283464497861818
B,2,1,25,150,0.921337644223979,0.8681765139802318,0.053161130243747245
B,2,1,25,175,0.9209898879570336,0.8736257426846002,0.04736414527243338
B,2,1,25,200,0.9001756172093491,0.8744013416947127,0.025774275514636402
B,2,1,25,225,0.8770434693373678,0.8410855672068965,0.03595790213047123
B,2,1,25,250,0.8856892116124904,0.8569456718930886,0.0287435397194018
B,2,1,25,275,0.8807494041467402,0.8680510475658447,0.012698356580895465
B,2,1,25,300,0.8444611234443682,0.8533886819702241,-0.008927558525855916
B,2,1,25,325,0.8859785036882658,0.865916000869313,0.020062502818952832
B,2,1,25,350,0.8404546468550537,0.8109371069936347,0.029517539861418918
B,2,1,25,375,0.864837360845404,0.8368985314913909,0.02793882935401304
B,2,1,25,400,0.8604033150212691,0.8282111857365291,0.03219212928474002
B,2,1,25,425,0.8567089788413256,0.8537105970741098,0.0029983817672157853
B,2,1,25,450,0.8183444896712747,0.8285472433606044,-0.010202753689329658
B,2,1,25,475,0.8738705157361156,0.849933141044034,0.02393737469208168
B,2,2,50,100,0.7553417967492455,0.4878756351177243,0.2674661616315212
B,2,2,50,125,0.7662811842085069,0.7382509346806425,0.02803024952786437
B,2,2,50,150,0.802659765085764,0.8164304736230406,-0.013770708537276577
B,2,2,50,175,0.8950343887909811,0.8436423300374345,0.05139205875354658
B,2,2,50,200,0.8927358695834752,0.8408070538129497,0.05192881577052544
B,2,2,50,225,0.8639760888076571,0.8196501925857097,0.04432589622194738
B,2,2,50,250,0.8838992117182856,0.8633650191739481,0.020534192544337415
B,2,2,50,275,0.887069232015008,0.8497675989457348,0.037301633069273143
B,2,2,50,300,0.8640634202043176,0.8434508464181293,0.020612573786188304
B,2,2,50,325,0.8624401141627903,0.8462444820859494,0.016195632076840938
B,2,2,50,350,0.8520403678860797,0.7939823638400323,0.05805800404604744
B,2,2,50,375,0.8701083402491432,0.8119152837228621,0.05819305652628104
B,2,2,50,400,0.8741298507884612,0.8414042575104642,0.032725593277996956
B,2,2,50,425,0.8652678439046929,0.8458091251245813,0.019458718780111628
B,2,2,50,450,0.8371546372385515,0.8091769980958369,0.027977639142714672
B,2,3,75,125,0.45701230789422237,0.6553595647521919,-0.19834725685796956
B,2,3,75,150,0.565236311201808,0.7774338721630137,-0.2121975609612058
B,2,3,75,175,0.7367925128997355,0.79355141497929,-0.056758902079554585
B,2,3,75,200,0.8318895048843219,0.8130640926136371,0.018825412270684794
B,2,3,75,225,0.8444406888281873,0.8114636312446124,0.03297705758357494
B,2,3,75,250,0.8522021919054009,0.8476044670382031,0.004597724867197783
B,2,3,75,275,0.8859575778891754,0.841669908533756,0.04428766935541939
B,2,3,75,300,0.8569392863523855,0.8238105444081647,0.033128741944220774
B,2,3,75,325,0.8782193336288435,0.8290037586848186,0.049215574944024953
B,2,3,75,350,0.8209941109010074,0.7679409695808073,0.053053141320200115
B,2,3,75,375,0.8812045783104117,0.8331251309842862,0.04807944732612546
B,2,3,75,400,0.8787244150310236,0.8377368698273598,0.04098754520366377
B,2,3,75,425,0.8784505049221318,0.8237340805830315,0.05471642433910029
B,2,4,100,150,0.243681940388517,0.7168852108957353,-0.47320327050721833
B,2,4,100,175,0.48078279209619984,0.7815512118815592,-0.30076841978535934
B,2,4,100,200,0.6268387201084321,0.7911836865774065,-0.16434496646897434
B,2,4,100,225,0.765325945690293,0.7908627269674726,-0.02553678127717962
B,2,4,100,250,0.820856866271368,0.8357075242243359,-0.014850657952967916
B,2,4,100,275,0.8539514128995233,0.8224844429033409,0.03146696999618237
B,2,4,100,300,0.8445956315889698,0.809082671113147,0.03551296047582275
B,2,4,100,325,0.8705626248804889,0.8057769585714948,0.06478566630899407
B,2,4,100,350,0.8387512767308863,0.7875685325897938,0.051182744141092584
B,2,4,100,375,0.8501728239194785,0.8250375256276518,0.025135298291826702
B,2,4,100,400,0.8931246321067637,0.8160045661496723,0.07712006595709142
A,3,-4,-100,175,0.7652498210432594,0.8299539836363883,-0.06470416259312883
A,3,-4,-100,200,0.7117214960962543,0.8670489216811422,-0.15532742558488788
A,3,-4,-100,225,0.6954790120262294,0.8265394552014033,-0.13106044317517385
A,3,-4,-100,250,0.6783400531756124,0.8566479773976865,-0.1783079242220741
A,3,-4,-100,275,0.6603700696039821,0.8631190876276079,-0.20274901802362577
A,3,-4,-100,300,0.6111836613288452,0.7610633231019007,-0.14987966177305556
A,3,-4,-100,325,0.6388538981652067,0.8131251963177639,-0.17427129815255726
A,3,-4,-100,350,0.5849350026143034,0.7368059762887884,-0.151870973674485
A,3,-4,-100,375,0.5652399292652254,0.6777868897455541,-0.11254696048032875
A,3,-4,-100,400,0.6198801852252287,0.7202583161773733,-0.10037813095214465
A,3,-3,-75,150,0.7578482826910956,0.9110736734149145,-0.1532253907238189
A,3,-3,-75,175,0.8101667317233179,0.9072763390972857,-0.09710960737396779
