step,layer,split,split_seed,num_parts,part_tokens,num_pairs,mean_pairwise_correlation,min_pairwise_correlation,stdev_pairwise_correlation,mean_pairwise_linf,bias_correlation_full,mean_bias_correlation_parts
0,2,sequence,,4,4096,6,0.8360682631652145,0.8205936620162219,0.02643230799300059,0.06726139038801193,nan,nan
0,3,sequence,,4,4096,6,0.7314433692080476,0.6542566571559438,0.043777034017666486,0.11213783997421463,nan,nan
0,4,sequence,,4,4096,6,0.5959347637564978,0.5328487597412714,0.051223776605629504,0.19837652092489103,nan,nan
0,5,sequence,,4,4096,6,0.5717478720386618,0.4518826678762101,0.10843272646971355,0.23919020500034094,nan,nan
0,6,sequence,,4,4096,6,0.5474385580112572,0.3925250348535601,0.09450970128798084,0.22945007565431297,nan,nan
0,7,sequence,,4,4096,6,0.480966486882947,0.29491024444797476,0.10714922316279768,0.27971438753108185,nan,nan
0,8,sequence,,4,4096,6,0.37726669416079783,0.28856023321082386,0.11680843122132413,0.3231072154206534,nan,nan
0,9,sequence,,4,4096,6,0.43759692420675367,0.2636142083324675,0.08001773969531048,0.3139822375184546,nan,nan
25,2,sequence,,4,4096,6,0.9771542972462073,0.9666841670041019,0.008643534252683709,0.027887043096901227,0.5411790224031159,0.5370071444245077
25,3,sequence,,4,4096,6,0.9865850342987738,0.981536119559522,0.0038404135605855285,0.02497410688859721,0.4769632672221754,0.47604202284308395
25,4,sequence,,4,4096,6,0.9898666177620231,0.9842440712702926,0.00469457183547472,0.022681918771316607,0.6071876255416276,0.6053552085297169
25,5,sequence,,4,4096,6,0.9920983441947833,0.9893052030773234,0.0022225440781103614,0.022200371817840885,0.772133432614197,0.7695395862969076
25,6,sequence,,4,4096,6,0.9955125071902007,0.9922409797776088,0.002079461120915532,0.017365336456956964,0.6523019720491783,0.6522689134978226
25,7,sequence,,4,4096,6,0.9969742382758731,0.9956515269186996,0.001096452831266861,0.01529977519142752,0.7055258861997258,0.7048509311936565
25,8,sequence,,4,4096,6,0.9987127876129865,0.9980753912578126,0.0005588218081861191,0.013202930723006526,0.8471642146749749,0.8467406933312773
25,9,sequence,,4,4096,6,0.9987061201464424,0.9978378274807911,0.0005596217503600339,0.018376890395302325,0.8512236736468037,0.8511044894328663
50,2,sequence,,4,4096,6,0.9880110595988034,0.9798314112326739,0.0061005064853741995,0.025562175953382393,0.8644553898437137,0.8601517718433463
50,3,sequence,,4,4096,6,0.9970222653142781,0.9955359676928864,0.001000388748494914,0.03820747640929767,0.7111704801824554,0.7109994702383039
50,4,sequence,,4,4096,6,0.9974272222275703,0.9960734018657997,0.0006615765895309524,0.02425145726253201,0.8000069453460942,0.8003407614634166
50,5,sequence,,4,4096,6,0.9983410602991697,0.9970461336740953,0.000756706030689197,0.012837703624730542,0.833840770033905,0.833225022099023
50,6,sequence,,4,4096,6,0.9984462509530645,0.9977156046336043,0.0005672279201879818,0.011289124453469412,0.7992351919963193,0.7990273406832422
50,7,sequence,,4,4096,6,0.9985459615567281,0.9976800526700129,0.0007216245576033472,0.012485780066829951,0.8570099432782222,0.8570208755682382
50,8,sequence,,4,4096,6,0.9986033512807588,0.9969305205630401,0.0009812609206924041,0.01587845630092488,0.7821852559365373,0.7821683090814318
50,9,sequence,,4,4096,6,0.9980790703702107,0.9965145329067692,0.001186040137458931,0.014246874027473192,0.8891178172549793,0.8887636443396703
75,2,sequence,,4,4096,6,0.9872697190340972,0.977998479716058,0.004682074544254148,0.01498585633089533,0.8946419497711983,0.8908595648948023
75,3,sequence,,4,4096,6,0.9950578386427219,0.9928702195384665,0.0012035460534848077,0.020925491877278546,0.9148613501173561,0.9132038324757686
75,4,sequence,,4,4096,6,0.9965717451151649,0.9957387253920312,0.0008225728081195383,0.011869755028480236,0.93489337018901,0.9341224472316711
75,5,sequence,,4,4096,6,0.9955342033814857,0.9941652943537563,0.0007893116968736311,0.01746077295069881,0.9000480622000292,0.8994159039413372
75,6,sequence,,4,4096,6,0.9943349091377508,0.9910366736294738,0.0021458888933965446,0.02340004486829154,0.903661213465776,0.9011566087092161
75,7,sequence,,4,4096,6,0.9954914595065522,0.9937995978841877,0.0017054983237813261,0.021597993063248094,0.8949854449396221,0.8945037578092938
75,8,sequence,,4,4096,6,0.9967369364385892,0.9950861991927938,0.0010979911555409805,0.02235111579026731,0.8285138513966652,0.8289874168071827
75,9,sequence,,4,4096,6,0.9954175753538236,0.9930773158790723,0.0015414034427456325,0.018729345189058222,0.8836890460887439,0.8831221156415605
100,2,sequence,,4,4096,6,0.9859570752557286,0.9782886281388176,0.004620460901599124,0.017289248147032293,0.8394538620614674,0.8332868636830696
100,3,sequence,,4,4096,6,0.993312426963704,0.9882554040087235,0.002490084895317936,0.013997612920926864,0.9706949723030417,0.9681344712249238
100,4,sequence,,4,4096,6,0.990177372912931,0.9818253917555019,0.004220269448401183,0.014323798414200914,0.9469479111992727,0.9436879604400943
100,5,sequence,,4,4096,6,0.9912940129302609,0.9865889498931927,0.002667387663526319,0.015511319625981438,0.9400595356170873,0.9367179335291059
