step,layer,split,num_parts,part_tokens,mean_pairwise_correlation,min_pairwise_correlation,mean_pairwise_linf,bias_correlation_full,mean_bias_correlation_parts
0,2,sequence,2,8192,0.915726373181595,0.915726373181595,0.053149471059441566,nan,nan
0,3,sequence,2,8192,0.8410011053597488,0.8410011053597488,0.09036406548693776,nan,nan
0,4,sequence,2,8192,0.7454090839644041,0.7454090839644041,0.17396828345954418,nan,nan
0,5,sequence,2,8192,0.7532473682639733,0.7532473682639733,0.1336917164735496,nan,nan
0,6,sequence,2,8192,0.7254241775238321,0.7254241775238321,0.16892518009990454,nan,nan
0,7,sequence,2,8192,0.7405912571279714,0.7405912571279714,0.19266463164240122,nan,nan
0,8,sequence,2,8192,0.48890248288256744,0.48890248288256744,0.3411165764555335,nan,nan
0,9,sequence,2,8192,0.570902694502758,0.570902694502758,0.207791764754802,nan,nan
25,2,sequence,2,8192,0.9876116419874176,0.9876116419874176,0.024892656947486103,0.5412165249487217,0.539628229165996
25,3,sequence,2,8192,0.9920267002454265,0.9920267002454265,0.019095541909337044,0.4769699175899463,0.47660775113040227
25,4,sequence,2,8192,0.9938231446900022,0.9938231446900022,0.01746163028292358,0.6071692575384656,0.6064284686864303
25,5,sequence,2,8192,0.99649569315275,0.99649569315275,0.011990863014943898,0.7721258459750717,0.7714874222062156
25,6,sequence,2,8192,0.9970637312853674,0.9970637312853674,0.014471197035163641,0.6522998367903903,0.6526098266904035
25,7,sequence,2,8192,0.9983818738559094,0.9983818738559094,0.012119957827962935,0.7055234816292362,0.7054405543525656
25,8,sequence,2,8192,0.9993408074852235,0.9993408074852235,0.008317165018524975,0.8471633702948976,0.8471022191674855
25,9,sequence,2,8192,0.9993481431990594,0.9993481431990594,0.011843670392408967,0.8512253122737391,0.8510947356003291
50,2,sequence,2,8192,0.9951639199618412,0.9951639199618412,0.023276646083104424,0.8644417557305719,0.8638516731850485
50,3,sequence,2,8192,0.9990588287075675,0.9990588287075675,0.03193425340214162,0.7111353910478597,0.7110467800477289
50,4,sequence,2,8192,0.9991453124617709,0.9991453124617709,0.014655783495982178,0.8000315408413285,0.8001198748698741
50,5,sequence,2,8192,0.9993959315770278,0.9993959315770278,0.009345740065327846,0.8338392067673743,0.833905903370415
50,6,sequence,2,8192,0.9991609608784426,0.9991609608784426,0.010925937116553541,0.7992700975123749,0.7992378746228176
50,7,sequence,2,8192,0.999460975682269,0.999460975682269,0.010223017350654118,0.8569921791694569,0.8574925553812717
50,8,sequence,2,8192,0.9997126189196891,0.9997126189196891,0.006619399526243797,0.7821807616075725,0.7822341035608216
50,9,sequence,2,8192,0.9992845004887345,0.9992845004887345,0.007850386547943344,0.8891128233065371,0.8887868282422491
75,2,sequence,2,8192,0.9944378034054715,0.9944378034054715,0.009783734385564458,0.8945402145874539,0.8940960688549884
75,3,sequence,2,8192,0.9977248128702771,0.9977248128702771,0.01126234880030097,0.9148538076500227,0.9138657493444522
75,4,sequence,2,8192,0.9980219284494904,0.9980219284494904,0.009404847821315343,0.9348989247298131,0.934571748520687
75,5,sequence,2,8192,0.9977056627658725,0.9977056627658725,0.009752463830409397,0.8999851420495568,0.9001530782993219
