dump,step,part,layer,tokens,balanced_load,max_load_over_balanced,min_load_over_balanced,argmax_expert,dead_experts
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,3,16384,2048.0,3.548828125,0.361328125,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,4,16384,2048.0,3.8583984375,0.40380859375,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,5,16384,2048.0,4.3974609375,0.375,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,6,16384,2048.0,2.57470703125,0.35986328125,53,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,7,16384,2048.0,2.91845703125,0.40966796875,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,8,16384,2048.0,4.42626953125,0.38525390625,18,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h1,9,16384,2048.0,2.93310546875,0.34326171875,28,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,2,16384,2048.0,1.68994140625,0.36669921875,44,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,3,16384,2048.0,1.88916015625,0.33056640625,60,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,4,16384,2048.0,1.83935546875,0.2705078125,48,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,5,16384,2048.0,1.98876953125,0.1455078125,39,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,6,16384,2048.0,2.05712890625,0.16552734375,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,7,16384,2048.0,2.69287109375,0.173828125,16,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,8,16384,2048.0,2.05322265625,0.15087890625,2,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,h2,9,16384,2048.0,2.16796875,0.13037109375,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,2,16384,2048.0,2.875,0.41162109375,19,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,3,16384,2048.0,3.548828125,0.361328125,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,4,16384,2048.0,3.859375,0.404296875,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,5,16384,2048.0,4.39697265625,0.3759765625,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,6,16384,2048.0,2.57470703125,0.35986328125,53,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,7,16384,2048.0,2.9169921875,0.41015625,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,8,16384,2048.0,4.4248046875,0.388671875,18,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h1,9,16384,2048.0,2.93408203125,0.34228515625,28,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h2,2,16384,2048.0,1.68994140625,0.36669921875,44,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h2,3,16384,2048.0,1.8896484375,0.33056640625,60,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h2,4,16384,2048.0,1.8408203125,0.2705078125,48,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h2,5,16384,2048.0,1.98876953125,0.14697265625,39,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h2,6,16384,2048.0,2.05712890625,0.166015625,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h2,7,16384,2048.0,2.69677734375,0.173828125,16,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h2,8,16384,2048.0,2.056640625,0.15478515625,2,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000001.npz,1,h2,9,16384,2048.0,2.169921875,0.13134765625,5,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,all,2,32768,4096.0,1.3896484375,0.24853515625,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,all,3,32768,4096.0,1.993408203125,0.422607421875,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,all,4,32768,4096.0,2.095703125,0.386962890625,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,all,5,32768,4096.0,2.09619140625,0.3984375,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,all,6,32768,4096.0,1.696044921875,0.451904296875,42,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,all,7,32768,4096.0,1.62744140625,0.487060546875,25,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,all,8,32768,4096.0,2.3154296875,0.43115234375,18,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000000.npz,0,all,9,32768,4096.0,1.836669921875,0.251953125,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,all,2,32768,4096.0,1.3896484375,0.24853515625,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,all,3,32768,4096.0,1.99365234375,0.422607421875,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,all,4,32768,4096.0,2.09521484375,0.38720703125,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,all,5,32768,4096.0,2.096435546875,0.3984375,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,all,6,32768,4096.0,1.697021484375,0.451904296875,42,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,all,7,32768,4096.0,1.629638671875,0.488525390625,25,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,all,8,32768,4096.0,2.314453125,0.4326171875,18,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/a_spread_off1/probes/iter_0000001.npz,1,all,9,32768,4096.0,1.83251953125,0.251953125,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,all,2,32768,4096.0,1.620849609375,0.41650390625,19,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,all,3,32768,4096.0,2.031005859375,0.52392578125,30,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,all,4,32768,4096.0,2.14013671875,0.39208984375,33,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,all,5,32768,4096.0,2.361083984375,0.47900390625,62,0
artifacts/exp1/crossprobe/_superseded_spread_off1_ascending/b_spread_off1/probes/iter_0000000.npz,0,all,6,32768,4096.0,1.642578125,0.360107421875,59,0
