step,layer,bias_update_rate,dual_spread_over_eta,dual_correlation,dual_linf
200,3,0.001,62.683786265552044,0.9174568976059013,0.01638162718518288
200,4,0.001,53.91973163932562,0.869943096715633,0.021063309504825156
200,5,0.001,73.8891577348113,0.8365306368113706,0.027755104511015816
200,6,0.001,57.51895671710372,0.8814399981896804,0.024107265620841645
200,7,0.001,89.6643060259521,0.902244788353184,0.04143207809829619
200,8,0.001,58.19485802203417,0.8240075200541915,0.022371557333826786
200,9,0.001,72.11696833837777,0.8045607633276884,0.03357346680604678
225,2,0.001,103.51889813318849,0.8752020706843285,0.044773605059162946
225,3,0.001,51.43971927464008,0.8694274518997449,0.015542742643447127
225,4,0.001,45.02654727548361,0.8436309906077856,0.018264535145135596
225,5,0.001,63.12284688465297,0.7878629566485611,0.027158752891409677
225,6,0.001,51.6539616510272,0.8535041501820672,0.024453174100926844
225,7,0.001,76.90450735390186,0.8804463335960048,0.03671841981849866
225,8,0.001,50.244315061718225,0.8003669297362086,0.02134812392250751
225,9,0.001,83.72169849462807,0.7600917313313785,0.04690185095387278
250,2,0.001,108.18249685689807,0.8566370415620232,0.04765183174458798
250,3,0.001,53.242041263729334,0.8576683074703955,0.016461487884953385
250,4,0.001,45.26420496404171,0.8158504089409562,0.01971429432524019
250,5,0.001,57.703386060893536,0.8050539797500004,0.025004692488437286
250,6,0.001,51.583107095211744,0.8587596050174718,0.023181911954452517
250,7,0.001,75.52180904895067,0.8356226291885803,0.04205365077359602
250,8,0.001,49.09959784708917,0.8064741735654374,0.020221153143211268
250,9,0.001,80.20982227753848,0.7687346780020669,0.043299051154463086
275,2,0.001,102.15544723905623,0.864255457963155,0.04319999967265176
275,3,0.001,50.2340542152524,0.8126513076667963,0.01729137863003416
275,4,0.001,48.57314587570727,0.7598467998998003,0.022755161338864127
275,5,0.001,59.354827855713665,0.7715883715593244,0.027924742133109248
275,6,0.001,48.482964746654034,0.8098251701292757,0.024839752506522927
275,7,0.001,82.57939573377371,0.8265209864245654,0.048327684537071036
275,8,0.001,52.28619556874037,0.7886081565242007,0.024221548232162604
275,9,0.001,79.10821866244078,0.7660739840440403,0.04232242247053364
300,2,0.001,110.9651024453342,0.8328585954455152,0.05437326508399565
300,3,0.001,46.81653855368495,0.746180117794691,0.01576356687291991
300,4,0.001,42.10222279652953,0.6784826069793409,0.023258297551365104
300,5,0.001,59.04016038402915,0.7170238260886146,0.03185216661768209
300,6,0.001,49.94815122336149,0.7638526084198828,0.02954934650915675
300,7,0.001,89.01099860668182,0.7638484953056991,0.06028853703173809
300,8,0.001,54.72181923687458,0.7588392735458873,0.024813538075250108
300,9,0.001,78.32840946502984,0.7112484365847342,0.04461416626145365
325,2,0.001,133.123790146783,0.8561204472665934,0.07381026212897268
325,3,0.001,45.245951507240534,0.7736475703281267,0.014362710520799737
325,4,0.001,36.64293233305216,0.6137468653017368,0.02474246363999555
325,5,0.001,49.25563372671604,0.7595233597501609,0.026179376549407607
325,6,0.001,41.14158404991031,0.7791315859122663,0.022151738296088297
325,7,0.001,72.18137290328741,0.8233015762184375,0.044655240868451074
325,8,0.001,48.42144018039107,0.8049212732920272,0.024697813292732462
325,9,0.001,83.84872868191451,0.8124213517987959,0.048668381163224694
350,2,0.001,122.27250961586833,0.8286424089159722,0.06820351583519368
350,3,0.001,40.53367185406387,0.6730146728290342,0.018898884100053692
350,4,0.001,36.342181731015444,0.5290739949922774,0.02432031549687963
350,5,0.001,45.20025150850415,0.7265778354281602,0.025841221504379064
350,6,0.001,39.26185518503189,0.7727114862415404,0.02064256698213285
350,7,0.001,68.26432677917182,0.8303541083609105,0.04190650050077238
350,8,0.001,50.82007311284542,0.8281304358704633,0.024082365471258527
350,9,0.001,90.24165757000446,0.7902700222489404,0.05493301752721891
375,2,0.001,174.193499609828,0.8336294380663618,0.11605303602482309
375,3,0.001,38.53221982717514,0.6562160782145116,0.01537386446398159
375,4,0.001,41.27027885988355,0.5448515969957707,0.026687826408306137
375,5,0.001,49.07906707376242,0.7352588463457238,0.027850826827489072
375,6,0.001,41.88310937024653,0.7250566563662163,0.022982065624091774
375,7,0.001,73.71584442444146,0.8014577234395411,0.044990616905124625
375,8,0.001,53.49755613133311,0.8325116222813499,0.025639941632107366
375,9,0.001,85.2353535592556,0.8258011632818276,0.04997085050854366
400,2,0.001,168.03814703598619,0.8285567139107615,0.10946926163160242
400,3,0.001,36.8956895545125,0.6881596290185914,0.014960916985728545
400,4,0.001,36.80816479027271,0.5354985286168108,0.023470152233130648
400,5,0.001,45.31289101578295,0.7681117175708279,0.02662664129456971
400,6,0.001,37.25671023130417,0.7849339525595903,0.016540414522751234
400,7,0.001,73.16731801256537,0.816945403224634,0.04389343288130476
400,8,0.001,59.47689013555646,0.8026841163014445,0.03125376451862394
400,9,0.001,82.55338598974049,0.8200254069520272,0.04554937397551839
425,2,0.001,156.36380820069462,0.8024918502853441,0.09951827740042063
425,3,0.001,35.88291956111789,0.5436023389186059,0.01904859777278034
425,4,0.001,36.716416012495756,0.32848661176824984,0.025752506386197638
425,5,0.001,44.84406253322959,0.6655093234899405,0.024068707152764546
425,6,0.001,38.632300682365894,0.6863946765005559,0.02068482100003166
425,7,0.001,67.00942106544971,0.8004215576962939,0.04346106614138989
425,8,0.001,60.9946025069803,0.7630800759268414,0.03160696242048289
425,9,0.001,89.34881491586566,0.7544187927512809,0.05421381628912059
450,2,0.001,148.95072020590305,0.8160665719095351,0.09411381394602358
450,3,0.001,38.53665292263031,0.5581301338387594,0.01751588677507243
450,4,0.001,42.687338311225176,0.44048536790415166,0.029412848707579542
450,5,0.001,45.9131277166307,0.721487573094166,0.02821850155305583
450,6,0.001,38.69096143171191,0.7454384927302923,0.02031639481720049
450,7,0.001,71.33455807343125,0.8068677350000841,0.042837726046855096
450,8,0.001,57.73124168626964,0.7959806285013203,0.027577002219913993
450,9,0.001,86.21235063765198,0.80381096345734,0.047048356289451476
475,2,0.001,154.73141288384795,0.8307250601877009,0.10015709733852418
475,3,0.001,39.710724260658026,0.5437666247696338,0.020642677838623058
475,4,0.001,37.441188003867865,0.3063143718363031,0.02491904186717875
475,5,0.001,43.58270484954119,0.6764528117816145,0.025729146849698736
475,6,0.001,42.80066676437855,0.6038447454318658,0.02596321235614596
475,7,0.001,72.11583480238914,0.7139493960294357,0.04913091643174994
475,8,0.001,62.87058629095554,0.7391888599291139,0.03419456840492785
475,9,0.001,90.72973416186869,0.7417910672719077,0.05559858431661269
500,2,0.001,160.90412624180317,0.870967017811821,0.10392749486345565
500,3,0.001,36.24507423955947,0.5627771437176405,0.017092964075345662
500,4,0.001,36.09820595011115,0.3667777317510824,0.026348727536969818
500,5,0.001,46.275752829387784,0.7286866520422473,0.027121528939460404
500,6,0.001,39.17382867075503,0.6772035242422334,0.020498919275269145
500,7,0.001,63.155828043818474,0.8020586875173178,0.040790400162222795
500,8,0.001,58.776109013706446,0.8046681908408554,0.02842731901910156
500,9,0.001,83.42043519951403,0.7990179120610336,0.04740264201245736
