step,layer,split,split_seed,num_parts,part_tokens,num_pairs,mean_pairwise_correlation,min_pairwise_correlation,stdev_pairwise_correlation,mean_pairwise_linf,bias_correlation_full,mean_bias_correlation_parts
0,2,random,0,4,4096,6,0.9946076388446721,0.9930793454720158,0.0008233906199720501,0.012168992465982834,nan,nan
0,3,random,0,4,4096,6,0.9967737634868635,0.9962470657198507,0.0004419980550548604,0.011527549320211014,nan,nan
0,4,random,0,4,4096,6,0.997839309414851,0.997419954054878,0.00031223683288367454,0.011628940934315324,nan,nan
0,5,random,0,4,4096,6,0.998735697128892,0.9985872592330854,0.0001592929023202304,0.009726257684330145,nan,nan
0,6,random,0,4,4096,6,0.9987329143811121,0.9985346394425091,0.00018400171638990472,0.01015300901296238,nan,nan
0,7,random,0,4,4096,6,0.9987128121153018,0.998481868892434,0.00016761926376279498,0.010857548021400968,nan,nan
0,8,random,0,4,4096,6,0.9985473383561806,0.9980085132174349,0.0003533794117041984,0.011746663600206375,nan,nan
0,9,random,0,4,4096,6,0.9990051137853201,0.9988553415562473,0.00018024830520418691,0.010885952273383737,nan,nan
25,2,random,0,4,4096,6,0.998509648335955,0.9977425164841875,0.0005073230869419173,0.009635001517987499,0.5411790224031159,0.5398422868401289
25,3,random,0,4,4096,6,0.9995662844029239,0.9994297994760971,0.00010826645210978208,0.004229602889002611,0.4769632672221754,0.4768193184789453
25,4,random,0,4,4096,6,0.9996211498824326,0.9994417021304349,9.279165801778909e-05,0.005227889846234272,0.6071876255416276,0.6070161980783043
25,5,random,0,4,4096,6,0.9996488702988096,0.9994924014335137,0.00014014777543339664,0.00823425177562361,0.772133432614197,0.7722676094217651
25,6,random,0,4,4096,6,0.9998763211456906,0.9998545396299908,1.9454189658392002e-05,0.0032246248641361794,0.6523019720491783,0.6522396368878307
25,7,random,0,4,4096,6,0.9998913984078497,0.9997832083125332,5.0044192610063536e-05,0.0036133614485152066,0.7055258861997258,0.7053593540874029
25,8,random,0,4,4096,6,0.999959873294764,0.9999332308792639,1.9124966014949983e-05,0.003117157524684444,0.8471642146749749,0.8471254723052968
25,9,random,0,4,4096,6,0.9999665452570435,0.9999392020648507,1.3287673558426294e-05,0.003062122423822681,0.8512236736468037,0.8512020937939674
50,2,random,0,4,4096,6,0.9978963028984603,0.9960333402915429,0.001203333500797003,0.011169623736350331,0.8644553898437137,0.8634685015462834
50,3,random,0,4,4096,6,0.9994100459295115,0.9988308308875105,0.0004251048695868875,0.0164687889967657,0.7111704801824554,0.7109020439961403
50,4,random,0,4,4096,6,0.9989782388866465,0.9986085364523797,0.00034345814021182066,0.016649244678167936,0.8000069453460942,0.8000546951814284
50,5,random,0,4,4096,6,0.9994867212506565,0.9990788406574885,0.00033184789328938823,0.010339010303747878,0.833840770033905,0.8337154326364049
50,6,random,0,4,4096,6,0.9996866553590169,0.9995277270337881,0.00010624392488981435,0.008220273578141738,0.7992351919963193,0.7992662664517589
