tau,asset,step,layer,unit,lam,n,e,k,cap,num_arcs,barrier_affinity,barrier_max_load,lp_affinity,lp_max_load,affinity_diff,max_load_diff,arc_growths,dump_path
0.05,standing_climbmix_small_spread_off1_16x2048,75,2,u0,1.0,16384,64,8,2048,4206,6224.093627728964,2059,6220.295281741964,2048,3.7983459870001752,11,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_spread_off1_16x2048/iter_0000075.npz
0.02,standing_climbmix_small_spread_off1_16x2048,75,2,u0,1.0,16384,64,8,2048,4140,6221.77804777295,2053,6220.295281741964,2048,1.4827660309865678,5,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_spread_off1_16x2048/iter_0000075.npz
0.01,standing_climbmix_small_spread_off1_16x2048,75,2,u0,1.0,16384,64,8,2048,4118,6221.123289768155,2050,6220.295281741964,2048,0.828008026191128,2,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_spread_off1_16x2048/iter_0000075.npz
0.5,standing_climbmix_small_strided_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4644.851207198874,2093,4638.622138782638,2048,6.2290684162362595,45,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000000.npz
0.2,standing_climbmix_small_strided_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4641.147580898245,2066,4638.622138782638,2048,2.525442115606893,18,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000000.npz
0.1,standing_climbmix_small_strided_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4639.881163554599,2057,4638.622138782638,2048,1.259024771960867,9,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000000.npz
0.05,standing_climbmix_small_strided_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4639.277328940392,2053,4638.622138782638,2048,0.6551901577540775,5,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000000.npz
0.02,standing_climbmix_small_strided_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4638.896674859345,2050,4638.622138782638,2048,0.27453607670668134,2,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000000.npz
0.01,standing_climbmix_small_strided_16x2048,0,2,u0,1.0,16384,64,8,2048,4096,4638.680685438972,2049,4638.622138782638,2048,0.05854665633432887,1,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000000.npz
0.5,standing_climbmix_small_strided_16x2048,75,2,u0,1.0,16384,64,8,2048,5192,6324.982913359976,2145,6294.053439280378,2048,30.92947407959764,97,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000075.npz
0.2,standing_climbmix_small_strided_16x2048,75,2,u0,1.0,16384,64,8,2048,4536,6306.728009176119,2088,6294.053439280378,2048,12.674569895740206,40,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000075.npz
0.1,standing_climbmix_small_strided_16x2048,75,2,u0,1.0,16384,64,8,2048,4316,6300.436748751832,2068,6294.053439280378,2048,6.3833094714536855,20,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000075.npz
0.05,standing_climbmix_small_strided_16x2048,75,2,u0,1.0,16384,64,8,2048,4206,6297.228382931427,2058,6294.053439280378,2048,3.174943651049034,10,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000075.npz
0.02,standing_climbmix_small_strided_16x2048,75,2,u0,1.0,16384,64,8,2048,4140,6295.28834455183,2052,6294.053439280378,2048,1.2349052714516802,4,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000075.npz
0.01,standing_climbmix_small_strided_16x2048,75,2,u0,1.0,16384,64,8,2048,4118,6294.718761140031,2050,6294.053439280378,2048,0.6653218596529769,2,0,artifacts/exp1/control/control-trunk/probes/standing_climbmix_small_strided_16x2048/iter_0000075.npz
