run,layer,pair,unit_x,unit_y,rho,c_x,c_y,kappa,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
a,2,tail-strided,u0,u1,0.9488840965059842,0.908744061799924,0.9123457656571878,0.9347466975077735,0.710505388871581,0.9784743664772014,0.0
a,2,tail-spread,u0,u0,0.9259215287070595,0.908744061799924,0.9139103103368702,0.9470774374772652,0.7515582608677602,0.9883859426570621,0.0
a,2,tail-spread,u0,u1,0.930531732415435,0.908744061799924,0.9178489444439195,0.9467619718601504,0.7453070826821853,0.9853755310429122,0.0
a,2,strided-spread,u1,u0,0.9763748648215786,0.9123457656571878,0.9139103103368702,0.9241090501488561,0.6969724462141985,0.974027310151443,0.0
a,2,strided-spread,u1,u1,0.9834545117522829,0.9123457656571878,0.9178489444439195,0.9227588056497369,0.6905143860290642,0.9728876048484452,0.0
a,2,identity:tail,u0,,0.9486049348033363,0.908744061799924,nan,0.9579794796116297,nan,nan,nan
a,2,identity:strided,u1,,1.0002942865806468,0.9123457656571878,nan,0.9120773535315316,nan,nan,nan
a,2,identity:spread,u0,,0.9760876153348501,0.9139103103368702,nan,0.9362994632642175,nan,nan,nan
a,3,tail-strided,u0,u1,0.8191858876075917,0.6469992441417233,0.6348790385506469,0.7081188410555356,0.5255165857452652,0.8397622263413193,0.0
a,3,tail-spread,u0,u0,0.8460461871913728,0.6469992441417233,0.6839999452400826,0.7232407432470028,0.553066152340211,0.8495125310888691,0.0
a,3,tail-spread,u0,u1,0.7836751519977387,0.6469992441417233,0.5062097774554237,0.6464710971144108,0.4276417744455576,0.8073832913370009,0.0
a,3,strided-spread,u1,u0,0.8821727937688718,0.6348790385506469,0.6839999452400826,0.7016114981201579,0.5427245226343481,0.8138373916646583,0.0
a,3,strided-spread,u1,u1,0.865985392826822,0.6348790385506469,0.5062097774554237,0.609193801277001,0.40277081878815196,0.7590030113705869,0.0
a,3,identity:tail,u0,,0.8863626296651939,0.6469992441417233,nan,0.729948694233775,nan,nan,nan
a,3,identity:strided,u1,,0.9242107690359453,0.6348790385506469,nan,0.6869418316915916,nan,nan,nan
a,3,identity:spread,u0,,0.9545147311895924,0.6839999452400826,nan,0.7165944357795582,nan,nan,nan
a,4,tail-strided,u0,u1,0.6697800094970402,0.4180184024168179,0.5764998002242748,0.5998341540556908,0.36220922705812997,0.7677344320572106,0.0004
a,4,tail-spread,u0,u0,0.7981077101072299,0.4180184024168179,0.6809547956191131,0.5972086490855437,0.3650645425364021,0.751846593127448,0.001
a,4,tail-spread,u0,u1,0.7884960632101178,0.4180184024168179,0.5657724403778756,0.5476698463314356,0.2986359364617221,0.7192676102856622,0.0006
a,4,strided-spread,u1,u0,0.8408615612628306,0.5764998002242748,0.6809547956191131,0.6832764807913237,0.49989153084194854,0.8155108294317566,0.0
a,4,strided-spread,u1,u1,0.8556158609675358,0.5764998002242748,0.5657724403778756,0.6174205232461943,0.40921622111836997,0.7661690318113499,0.0
a,4,identity:tail,u0,,0.7973235539625815,0.4180184024168179,nan,0.524277001901333,nan,nan,nan
a,4,identity:strided,u1,,0.8400353986387729,0.5764998002242748,nan,0.6862803652780088,nan,nan,nan
a,4,identity:spread,u0,,1.0009834854881074,0.6809547956191131,nan,0.6802857444616687,nan,nan,nan
a,5,tail-strided,u0,u1,0.8282349610717167,0.7295711662779675,0.6715808121458331,0.7691414047766806,0.5869340625042184,0.8869425177261288,0.0
a,5,tail-spread,u0,u0,0.8420936041902841,0.7295711662779675,0.7754558321098947,0.8196570520079492,0.6724515207075419,0.9137062633335393,0.0
a,5,tail-spread,u0,u1,0.8058889958722665,0.7295711662779675,0.7125309668650353,0.8031526374427282,0.6336826017851408,0.9134152178896655,0.0
a,5,strided-spread,u1,u0,0.8655845679325331,0.6715808121458331,0.7754558321098947,0.7756627229168368,0.6027733084216492,0.8793946309791455,0.0
a,5,strided-spread,u1,u1,0.873615932681518,0.6715808121458331,0.7125309668650353,0.7401005697629033,0.540180157998865,0.8634232554024758,0.0
a,5,identity:tail,u0,,0.8976400294373733,0.7295711662779675,nan,0.812765855300873,nan,nan,nan
a,5,identity:strided,u1,,0.9226805110182544,0.6715808121458331,nan,0.7278584560160353,nan,nan,nan
a,5,identity:spread,u0,,0.9381194872939158,0.7754558321098947,nan,0.8266066770947931,nan,nan,nan
a,6,tail-strided,u0,u1,0.7270846783786392,0.7638106690402752,0.6695550109513951,0.8386746111893055,0.7275331169013772,0.9387449929692675,0.0
a,6,tail-spread,u0,u0,0.8140848765822885,0.7638106690402752,0.7572679733951426,0.8429131161314521,0.7590857467229267,0.9041749923128678,0.0
a,6,tail-spread,u0,u1,0.7980860035414328,0.7638106690402752,0.732600784409481,0.8373397388595165,0.7520039387224597,0.9082933087299702,0.0
a,6,strided-spread,u1,u0,0.8291618691563161,0.6695550109513951,0.7572679733951426,0.7819847187632505,0.6720517522063814,0.8675321273149236,0.0
a,6,strided-spread,u1,u1,0.9278878745143834,0.6695550109513951,0.732600784409481,0.7270747661040327,0.6110743273546582,0.827954805481,0.0
a,6,identity:tail,u0,,0.8449046085242841,0.7638106690402752,nan,0.9040200057310043,nan,nan,nan
a,6,identity:strided,u1,,0.8605523878589917,0.6695550109513951,nan,0.7780525862198956,nan,nan,nan
a,6,identity:spread,u0,,0.9635228265640241,0.7572679733951426,nan,0.7859367235705274,nan,nan,nan
