step,layer,rho,corr_bias_a,corr_bias_b,kappa,rho_fisher_low,rho_fisher_high,rho_boot_low,rho_boot_high,kappa_boot_low,kappa_boot_high,boot_resamples,kappa_boot_undefined
100,2,0.8398777805000341,0.8956306100426207,0.9132054959521058,0.9868262113348735,0.7486191239406584,0.8999033045839403,0.7561848255078389,0.923416689995604,0.9604833237771218,1.0143815298803278,10000,0
100,3,0.943268819495009,0.9654225197680556,0.9690735180736236,0.9959082638105625,0.9079891133471192,0.9652674857451464,0.9071381607678511,0.9668671324116701,0.9846955831545736,1.0040691984967438,10000,0
100,4,0.7875074060233167,0.8083725766331112,0.9744213231525807,1.0001194010819132,0.6717266677233346,0.865732489177256,0.7030098076533896,0.9010842007885129,0.9754799689133202,1.0246194633030954,10000,0
100,5,0.5758068710435795,0.632822511097198,0.9344806395206232,1.013415849991546,0.3844019582986835,0.719746697519375,0.4650432888775099,0.9121095463136671,0.9560731046027985,1.0786636004940668,10000,0
100,6,0.8049375078392782,0.8411426110631987,0.948155538417955,0.9953905832613752,0.697044279359774,0.8771868907894493,0.6862250296017814,0.9082669824620223,0.9713246424290254,1.0239675656934653,10000,0
100,7,0.8138782283767726,0.864793836736448,0.9296713128336438,0.9938968001040195,0.7101361124303694,0.8830306557540535,0.7433386168859384,0.893517927919263,0.9462958260977636,1.029118647613903,10000,0
100,8,0.7821653925427774,0.7997704967111822,0.9285092382294818,0.9743758377341915,0.6640210476114864,0.862205438466851,0.6817128680797423,0.9089103532522789,0.9230261571328339,1.0080693435449057,10000,0
100,9,0.767694492856664,0.8539325635051024,0.9295738365053609,1.0168561528111053,0.6432727168380403,0.8526119186372985,0.6684961032395085,0.8900944063953115,0.9919359029733802,1.037250476032305,10000,0
200,2,0.5931300120678948,0.6910231623740909,0.9011620899717736,1.0246435470211832,0.4065981809844434,0.7321906464564827,0.5194497184185793,0.7562616150239063,0.9175874940053054,1.0753651475914963,10000,0
200,3,0.7093987947708156,0.739290066023844,0.9118236116258824,0.9748047329662894,0.5614993744807586,0.8133759989320495,0.5511308446231091,0.8353463402080491,0.9298239821060623,1.0271004882300525,10000,0
200,4,0.506131793718538,0.4048884404645964,0.8939757519027584,0.8456657639287154,0.2973074079999027,0.6687442093148103,0.43247551375104465,0.6823777323446243,0.6175995404859976,1.0466306074090093,10000,0
200,5,0.27410329993391247,0.13502674421905247,0.8738715888656783,0.6561098774612762,0.03033350554025788,0.4870971274418078,0.2214690142698632,0.7319983721775993,0.3224436699090637,0.996546997471473,10000,50
200,6,0.31185407851753666,0.46548998938728964,0.8400802331460121,1.1197983976473662,0.07152329455938958,0.5179617899260198,0.16180778688110442,0.5053918496147389,0.9978263795008748,1.3662761309916895,10000,0
200,7,0.41084236457844503,0.384429482344022,0.8263299742044903,0.8793210840710732,0.18356733317264146,0.5964228502448491,0.2031855979039842,0.6031717383040945,0.7218272035189162,1.0497453850466725,10000,3
200,8,0.28978649257370453,0.22706709078059706,0.8458651198765123,0.8141203057541405,0.04734545852318211,0.4999844805315058,0.1956609263562579,0.5199366022393839,0.6853553821116365,1.0469795814949436,10000,0
200,9,0.26557266779297733,0.28286828328137537,0.8311444407668314,0.9408896504423637,0.021139038196560905,0.4800480827883335,0.041330057899738384,0.5332282924896101,0.7009387961016331,1.7086228755067987,10000,81
350,2,0.38650136066316043,0.5239298146172527,0.8348044819965946,1.063783938754845,0.15545732581364136,0.5774527509439926,0.26278969019628834,0.6457069203041962,0.8464926281738723,1.2138096336498563,10000,0
350,3,0.2601570544420064,0.27468840449776377,0.7133263219171534,0.8678536312503109,0.015323371134103241,0.47555862598313536,0.08495091771956303,0.4559983254881868,0.46976472417354725,1.3467032904272354,10000,90
