run_id,layer,step,status,detail,asset,token_sha256,bias_0,bias_1,bias_2,bias_3,bias_4,bias_5,bias_6,bias_7,bias_8,bias_9,bias_10,bias_11,bias_12,bias_13,bias_14,bias_15,bias_16,bias_17,bias_18,bias_19,bias_20,bias_21,bias_22,bias_23,bias_24,bias_25,bias_26,bias_27,bias_28,bias_29,bias_30,bias_31,bias_32,bias_33,bias_34,bias_35,bias_36,bias_37,bias_38,bias_39,bias_40,bias_41,bias_42,bias_43,bias_44,bias_45,bias_46,bias_47,bias_48,bias_49,bias_50,bias_51,bias_52,bias_53,bias_54,bias_55,bias_56,bias_57,bias_58,bias_59,bias_60,bias_61,bias_62,bias_63
a,2,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.0459747314453125,0.0339813232421875,0.0379791259765625,0.043975830078125,0.03697967529296875,0.0479736328125,0.04097747802734375,0.0379791259765625,0.04897308349609375,0.043975830078125,0.0459747314453125,0.035980224609375,0.0379791259765625,0.04697418212890625,0.0419769287109375,0.04297637939453125,0.00299835205078125,0.0419769287109375,0.043975830078125,0.0479736328125,0.04897308349609375,0.03298187255859375,0.04297637939453125,0.0419769287109375,0.0379791259765625,0.0459747314453125,0.04897308349609375,0.03897857666015625,0.04297637939453125,0.0459747314453125,0.03997802734375,0.03897857666015625,0.04097747802734375,0.04097747802734375,0.04497528076171875,0.04297637939453125,0.0419769287109375,0.04497528076171875,0.04097747802734375,0.04297637939453125,0.0459747314453125,0.03498077392578125,0.0499725341796875,0.035980224609375,0.04297637939453125,0.03997802734375,0.04697418212890625,0.0379791259765625,0.03997802734375,0.03997802734375,0.051971435546875,0.04297637939453125,0.03997802734375,0.0479736328125,0.0419769287109375,0.04297637939453125,0.0459747314453125,0.043975830078125,0.031982421875,0.0379791259765625,0.04497528076171875,0.04697418212890625,0.03897857666015625,0.04697418212890625
a,3,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.03498077392578125,0.0459747314453125,0.043975830078125,0.04297637939453125,0.03897857666015625,0.03997802734375,0.04297637939453125,0.043975830078125,0.03697967529296875,0.043975830078125,0.04497528076171875,0.04697418212890625,0.043975830078125,0.04297637939453125,0.043975830078125,0.04297637939453125,0.0379791259765625,0.0459747314453125,0.04497528076171875,0.0379791259765625,0.0479736328125,0.031982421875,0.04497528076171875,0.0379791259765625,0.05097198486328125,0.0499725341796875,0.043975830078125,0.0419769287109375,0.0339813232421875,0.04497528076171875,0.043975830078125,0.0419769287109375,0.0379791259765625,0.04697418212890625,0.03997802734375,0.04897308349609375,0.04297637939453125,0.04097747802734375,0.03997802734375,0.04097747802734375,0.043975830078125,0.03897857666015625,0.0339813232421875,0.043975830078125,0.04297637939453125,0.03098297119140625,0.03098297119140625,0.0479736328125,0.05097198486328125,0.0499725341796875,0.04097747802734375,0.03897857666015625,0.03498077392578125,0.035980224609375,0.043975830078125,0.04297637939453125,0.03897857666015625,0.043975830078125,0.0459747314453125,0.04297637939453125,0.04497528076171875,0.04297637939453125,0.0479736328125,0.04097747802734375
a,4,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.03897857666015625,0.043975830078125,0.04497528076171875,0.0379791259765625,0.04297637939453125,0.0379791259765625,0.03897857666015625,0.0419769287109375,0.04097747802734375,0.04697418212890625,0.04297637939453125,0.0479736328125,0.04297637939453125,0.0459747314453125,0.04097747802734375,0.04297637939453125,0.03997802734375,0.0419769287109375,0.03997802734375,0.0479736328125,0.043975830078125,0.04697418212890625,0.0379791259765625,0.0419769287109375,0.03997802734375,0.03997802734375,0.03697967529296875,0.04297637939453125,0.0499725341796875,0.03897857666015625,0.043975830078125,0.03897857666015625,0.0419769287109375,0.04697418212890625,0.04897308349609375,0.04097747802734375,0.051971435546875,0.0419769287109375,0.03498077392578125,0.05097198486328125,0.0419769287109375,0.0459747314453125,0.04097747802734375,0.0419769287109375,0.05097198486328125,0.04297637939453125,0.03897857666015625,0.04097747802734375,0.043975830078125,0.04897308349609375,0.03997802734375,0.0379791259765625,0.04497528076171875,0.03997802734375,0.0419769287109375,0.04497528076171875,0.0479736328125,0.05097198486328125,0.0419769287109375,0.0459747314453125,0.043975830078125,0.0459747314453125,0.04697418212890625,0.03697967529296875
a,5,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.0499725341796875,0.04697418212890625,0.04697418212890625,0.04497528076171875,0.04497528076171875,0.04497528076171875,0.0459747314453125,0.0499725341796875,0.043975830078125,0.04497528076171875,0.05097198486328125,0.0459747314453125,0.0479736328125,0.04497528076171875,0.04297637939453125,0.0419769287109375,0.0479736328125,0.0419769287109375,0.0419769287109375,0.0499725341796875,0.04297637939453125,0.04697418212890625,0.04697418212890625,0.04697418212890625,0.0499725341796875,0.0479736328125,0.03897857666015625,0.04897308349609375,0.04697418212890625,0.04497528076171875,0.04297637939453125,0.043975830078125,0.03897857666015625,0.0459747314453125,0.0459747314453125,0.0459747314453125,0.04497528076171875,0.05297088623046875,0.0479736328125,0.0459747314453125,0.051971435546875,0.051971435546875,0.04897308349609375,0.04697418212890625,0.0479736328125,0.0459747314453125,0.04497528076171875,0.04497528076171875,0.04297637939453125,0.03997802734375,0.04297637939453125,0.0479736328125,0.0459747314453125,0.04497528076171875,0.04297637939453125,0.05297088623046875,0.03498077392578125,0.0499725341796875,0.0419769287109375,0.04297637939453125,0.0499725341796875,0.0499725341796875,0.04897308349609375,0.04897308349609375
a,6,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.0479736328125,0.04097747802734375,0.0419769287109375,0.0479736328125,0.043975830078125,0.0419769287109375,0.0479736328125,0.04897308349609375,0.05097198486328125,0.05297088623046875,0.05496978759765625,0.03498077392578125,0.05097198486328125,0.051971435546875,0.04697418212890625,0.0499725341796875,0.04897308349609375,0.04697418212890625,0.04697418212890625,0.0479736328125,0.04897308349609375,0.0459747314453125,0.04697418212890625,0.05297088623046875,0.04697418212890625,0.04897308349609375,0.04897308349609375,0.04897308349609375,0.0479736328125,0.0479736328125,0.051971435546875,0.0479736328125,0.04497528076171875,0.04497528076171875,0.04497528076171875,0.03997802734375,0.04297637939453125,0.0499725341796875,0.043975830078125,0.04897308349609375,0.04897308349609375,0.04697418212890625,0.04097747802734375,0.05097198486328125,0.0419769287109375,0.04497528076171875,0.04097747802734375,0.0479736328125,0.0419769287109375,0.051971435546875,0.0499725341796875,0.0499725341796875,0.0499725341796875,0.043975830078125,0.04897308349609375,0.04297637939453125,0.0539703369140625,0.0499725341796875,0.04297637939453125,0.04297637939453125,0.0539703369140625,0.04297637939453125,0.0479736328125,0.04497528076171875
a,7,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.05896759033203125,0.04497528076171875,0.0579681396484375,0.04497528076171875,0.05097198486328125,0.05696868896484375,0.05097198486328125,0.0419769287109375,0.0479736328125,0.05696868896484375,0.0579681396484375,0.0579681396484375,0.05297088623046875,0.06096649169921875,0.051971435546875,0.0579681396484375,0.04897308349609375,0.05496978759765625,0.0479736328125,0.059967041015625,0.05097198486328125,0.05496978759765625,0.04097747802734375,0.05297088623046875,0.0419769287109375,0.04897308349609375,0.05696868896484375,0.05097198486328125,0.04097747802734375,0.04497528076171875,0.0539703369140625,0.05097198486328125,0.0459747314453125,0.0499725341796875,0.0499725341796875,0.05696868896484375,0.051971435546875,0.05596923828125,0.05596923828125,0.05696868896484375,0.051971435546875,0.0499725341796875,0.05896759033203125,0.05596923828125,0.0479736328125,0.05097198486328125,0.05496978759765625,0.0459747314453125,0.05097198486328125,0.05496978759765625,0.0499725341796875,0.059967041015625,0.05097198486328125,0.0479736328125,0.0539703369140625,0.05696868896484375,0.05496978759765625,0.05097198486328125,0.0539703369140625,0.05097198486328125,0.0499725341796875,0.05097198486328125,0.0539703369140625,0.0499725341796875
a,8,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.043975830078125,0.0419769287109375,0.0459747314453125,0.03997802734375,0.0339813232421875,0.043975830078125,0.05696868896484375,0.04097747802734375,0.0459747314453125,0.05297088623046875,0.05896759033203125,0.05297088623046875,0.05097198486328125,0.04897308349609375,0.05596923828125,0.0479736328125,0.0479736328125,0.0459747314453125,0.05097198486328125,0.05297088623046875,0.04497528076171875,0.05297088623046875,0.04297637939453125,0.04697418212890625,0.03498077392578125,0.04497528076171875,0.051971435546875,0.043975830078125,0.0539703369140625,0.0539703369140625,0.0579681396484375,0.03697967529296875,0.05297088623046875,0.04697418212890625,0.0479736328125,0.05297088623046875,0.0459747314453125,0.04897308349609375,0.04897308349609375,0.0539703369140625,0.05496978759765625,0.05297088623046875,0.0459747314453125,0.04897308349609375,0.051971435546875,0.0499725341796875,0.04497528076171875,0.04897308349609375,0.05496978759765625,0.051971435546875,0.0419769287109375,0.04897308349609375,0.051971435546875,0.051971435546875,0.05097198486328125,0.05696868896484375,0.04497528076171875,0.05596923828125,0.0479736328125,0.04497528076171875,0.05297088623046875,0.0479736328125,0.05496978759765625,0.05097198486328125
a,9,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.04497528076171875,0.0339813232421875,0.0419769287109375,0.0459747314453125,0.03897857666015625,0.0479736328125,0.03997802734375,0.05297088623046875,0.03697967529296875,0.035980224609375,0.04697418212890625,0.03098297119140625,0.043975830078125,0.0459747314453125,0.0379791259765625,0.0459747314453125,0.0479736328125,0.0539703369140625,0.03697967529296875,0.02498626708984375,0.0419769287109375,0.043975830078125,0.04097747802734375,0.04497528076171875,0.05297088623046875,0.05596923828125,0.05297088623046875,0.051971435546875,0.043975830078125,0.04697418212890625,0.04697418212890625,0.0459747314453125,0.04697418212890625,0.0419769287109375,0.03897857666015625,0.0459747314453125,0.04497528076171875,0.04497528076171875,0.04697418212890625,0.0419769287109375,0.0419769287109375,0.05097198486328125,0.0459747314453125,0.0379791259765625,0.03697967529296875,0.04097747802734375,0.04897308349609375,0.04497528076171875,0.04497528076171875,0.0459747314453125,0.03697967529296875,0.0499725341796875,0.027984619140625,0.03997802734375,0.03997802734375,0.04297637939453125,0.05297088623046875,0.04897308349609375,0.0379791259765625,0.04497528076171875,0.04697418212890625,0.043975830078125,0.04697418212890625,0.0499725341796875
b,2,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.04097747802734375,0.0299835205078125,0.035980224609375,0.03897857666015625,0.0299835205078125,0.0419769287109375,0.03298187255859375,0.03098297119140625,0.04497528076171875,0.03897857666015625,0.043975830078125,0.035980224609375,0.031982421875,0.03997802734375,0.03697967529296875,0.03897857666015625,0.01099395751953125,0.03897857666015625,0.03897857666015625,0.0419769287109375,0.0459747314453125,0.02898406982421875,0.0339813232421875,0.03498077392578125,0.03098297119140625,0.04297637939453125,0.04297637939453125,0.0339813232421875,0.03697967529296875,0.0379791259765625,0.03897857666015625,0.035980224609375,0.035980224609375,0.03897857666015625,0.04297637939453125,0.04097747802734375,0.03897857666015625,0.04297637939453125,0.0339813232421875,0.0339813232421875,0.04097747802734375,0.0299835205078125,0.04697418212890625,0.03298187255859375,0.03697967529296875,0.035980224609375,0.04697418212890625,0.0339813232421875,0.03697967529296875,0.0379791259765625,0.0479736328125,0.03298187255859375,0.03897857666015625,0.0419769287109375,0.03697967529296875,0.0379791259765625,0.04097747802734375,0.03997802734375,0.03098297119140625,0.027984619140625,0.0379791259765625,0.043975830078125,0.0339813232421875,0.04097747802734375
b,3,0,ok,,standing_climbmix_small_16x2048,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,0.03697967529296875,0.03897857666015625,0.04297637939453125,0.04497528076171875,0.03897857666015625,0.04297637939453125,0.043975830078125,0.04497528076171875,0.0379791259765625,0.04097747802734375,0.04497528076171875,0.0459747314453125,0.04697418212890625,0.04097747802734375,0.0479736328125,0.04497528076171875,0.035980224609375,0.04897308349609375,0.04497528076171875,0.03897857666015625,0.04697418212890625,0.03498077392578125,0.04297637939453125,0.03997802734375,0.051971435546875,0.0479736328125,0.0459747314453125,0.04297637939453125,0.03098297119140625,0.0459747314453125,0.04697418212890625,0.0419769287109375,0.03697967529296875,0.0479736328125,0.04097747802734375,0.0479736328125,0.043975830078125,0.04097747802734375,0.04297637939453125,0.04097747802734375,0.04097747802734375,0.03997802734375,0.03897857666015625,0.04697418212890625,0.04297637939453125,0.03697967529296875,0.0339813232421875,0.04497528076171875,0.0499725341796875,0.0499725341796875,0.03997802734375,0.03997802734375,0.035980224609375,0.03997802734375,0.04497528076171875,0.043975830078125,0.0419769287109375,0.0419769287109375,0.0419769287109375,0.0459747314453125,0.04297637939453125,0.04097747802734375,0.05097198486328125,0.04297637939453125
