step,layer,admissible,refused_reason,bias_from,load_ratio_tail,load_ratio_strided,rho,corr_bias_tail,corr_bias_strided,kappa,rho_boot_low,rho_boot_high,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
100,5,True,,A,2.668,2.2041,0.9504933060531726,0.9400595581560067,0.9071593559199927,0.9472071014994391,0.8969062572025369,0.9736834835114424,0.9273098389138076,0.9860592511983677,0
100,6,True,,A,2.6265,2.0098,0.9311747388175573,0.9399785241637865,0.9055031863325754,0.9560670793188978,0.8650704928818984,0.9666229436335322,0.9173610565438236,0.9879024574952147,0
100,7,True,,A,2.7212,2.3149,0.9243463595471398,0.9012806894064385,0.8918760132232904,0.9325344988968182,0.8612887676860481,0.9604430123268887,0.8886793600149563,0.9771970844302067,0
100,8,True,,A,2.1616,2.0273,0.9295732498760727,0.8873028934245138,0.8640522012706144,0.9081636826279864,0.7573455560025578,0.9724626360079136,0.8657261372471428,0.9597727407174834,0
100,9,True,,A,2.292,2.1914,0.8085301984587525,0.8718047973945611,0.8578668058305802,0.9617704654446277,0.6952305962212163,0.9027390082041277,0.9023383581449729,1.0096611521854502,0
125,2,True,,A,2.083,1.603,0.8912001451984629,0.8703315665788758,0.8241660529606826,0.8971438916906285,0.6919227780160662,0.9642020206746537,0.86212840499059,1.0094987446943255,0
125,3,True,,A,2.3726,2.5635,0.9275406567421739,0.9432438143007004,0.9327946535500778,0.9739541881810923,0.8672414626540913,0.9678441142979628,0.9464200686454186,0.9953467485720224,0
125,4,True,,A,2.5176,1.688,0.8272831326708765,0.9173904547280889,0.8898173882497054,0.9933458181608331,0.7494796474578342,0.9047226002134477,0.9582259049626223,1.0258417639178814,0
125,5,True,,A,2.188,1.8569,0.8654596542217587,0.8878445123331817,0.8688224062418515,0.9440838103368714,0.737637712834147,0.9494355755570311,0.886527731390584,0.9809130151899433,0
125,6,True,,A,2.9844,2.291,0.8639147427445568,0.9414441544928324,0.8314009911551102,0.9518469177093076,0.7975685594508698,0.916108614948599,0.8849308522206284,0.9956965583528263,0
125,7,True,,A,2.8145,1.9121,0.9118659708770744,0.9305542157008608,0.8590475348546063,0.9362976512820412,0.8246729236844699,0.9559035757573392,0.8863453579808752,0.974078392997962,0
125,8,True,,A,2.7095,2.0806,0.9296949274916797,0.8868480889167916,0.8730816700536485,0.9126028522698535,0.7374326843950985,0.9734664419397073,0.7931093555029682,0.9644485710678936,0
125,9,True,,A,3.2593,2.4941,0.7874534508161497,0.8594226486017934,0.7838946741641056,0.9249533058789258,0.6493429460668112,0.8911057672120304,0.7852072444291732,0.9802555199081067,0
150,2,True,,A,1.5234,2.0591,0.8949753323973486,0.9090656496532543,0.8615229612361277,0.9354606410097352,0.6990177646366676,0.9641091834444615,0.9036312726875676,0.9892525104649551,0
150,3,True,,A,1.7964,2.4326,0.9071713080087603,0.9496017868075134,0.8999245711274991,0.9705751405495985,0.8515609119711416,0.9515073800035176,0.9439475835639674,0.9922757669249016,0
150,4,True,,A,1.8486,1.9429,0.8090470311909352,0.9233931792149137,0.872228213654402,0.997749484566028,0.7086731546516595,0.8892728036727652,0.9581891670525728,1.0407479010748715,0
150,5,True,,A,1.8237,2.0469,0.8549400866786202,0.9190293996138081,0.8694215994046649,0.9667453115573292,0.6794153571304227,0.9239744120389011,0.9146218259663899,0.9986428856914299,0
150,6,True,,A,1.834,2.2383,0.8262055639504936,0.9253031144629836,0.816924960428126,0.9565089480897078,0.7094196988205241,0.8965957122310843,0.894765945667732,1.0058556921041675,0
150,7,True,,A,2.479,2.0732,0.8074489450891391,0.9141479588265465,0.8424730003537558,0.9766269555511337,0.5835591400545372,0.9170220872236341,0.9340537482146982,1.0309165588174527,0
150,8,True,,A,2.0039,2.0996,0.7950517314141891,0.9207705323406681,0.8409478538465472,0.9868759045871901,0.5016215938165761,0.9264073741559612,0.9202161953864804,1.067664783459618,0
150,9,True,,A,2.0576,3.2817,0.5866646458667539,0.8367684454151139,0.7031452960948174,1.001452203780168,0.4458692167546641,0.7412233536163892,0.8473012935196139,1.0759479948763662,0
175,2,True,,A,1.9146,1.8208,0.8810876782710255,0.9124406809782624,0.8705696046961433,0.9494989877571024,0.6531320900078214,0.9563798002718912,0.8886639629243407,0.9877804818285286,0
175,3,True,,A,1.9961,1.6021,0.8805076958664576,0.9443054562489882,0.8887740120766087,0.9763046214173794,0.8028610014638361,0.9393687259301516,0.946404115905246,0.9977217846428381,0
175,4,True,,A,1.8325,1.9531,0.7535341922038473,0.8995333296339799,0.8446429667238967,1.0041387640437685,0.625632143424728,0.8643994782395604,0.95663867116509,1.060993368952582,0
175,5,True,,A,1.8076,1.7593,0.7735104566235986,0.8816757485112262,0.818092672332445,0.9656563583078542,0.5455988883723408,0.8842246021633451,0.8874280232206242,1.0367254729517432,0
175,6,True,,A,1.9199,1.8306,0.8482950976554811,0.9132394280261709,0.8156898291882194,0.9370901472702552,0.7438290958282511,0.9165030551300037,0.8784486235498441,0.9814296832623686,0
175,7,True,,A,2.1392,2.0449,0.6915812701671636,0.9211164392573061,0.776494401344619,1.0169622206920805,0.4549074250123909,0.8414062783135419,0.9705889310592546,1.0964630234210921,0
175,8,True,,A,1.8931,2.1255,0.7845007190946627,0.881864798079732,0.8077221923003575,0.9528736953495668,0.5975547203158359,0.895464390097982,0.8802643999874591,1.0058042417061883,0
175,9,True,,A,2.0303,1.7612,0.5640560742050358,0.8442092942610026,0.5278861175486891,0.8888613960889759,0.368184979112532,0.7194236633267949,0.6997124610557999,1.024799581203704,0
200,2,True,,A,1.6709,2.0815,0.8963286263259032,0.9064280552027033,0.8609256581866324,0.9330735138775935,0.6998498880854291,0.9610181201491971,0.8383923456914065,0.9736138359446426,0
200,3,True,,A,1.6763,1.8027,0.9019778203143363,0.9174568665627194,0.8614481766131112,0.9360724781981851,0.8272029563869956,0.9487883418406348,0.8961953016078122,0.9690072849619925,0
200,4,True,,A,1.75,1.8096,0.729397850931744,0.8699431079816222,0.7765340104623805,0.9623729931978969,0.5862359364586807,0.8558971632729478,0.9029664913041936,1.0301071254489074,0
200,5,True,,A,1.6733,1.6367,0.7546757139077885,0.8365306362615917,0.742791380216801,0.9073903700905191,0.5462967215824283,0.8669988774926277,0.7968654024341696,0.9920521022133156,0
200,6,True,,A,1.9189,1.8369,0.8177248135514416,0.8814400381477374,0.7508968939059285,0.8996694068919004,0.7085186235837886,0.8939067321805325,0.8278422674174573,0.9570321466418267,0
200,7,True,,A,1.9038,2.2544,0.6290389718128643,0.9022447494171659,0.6661112628631592,0.9774550478280882,0.387272104007009,0.8081602307921758,0.8935825028724683,1.041603883461756,0
200,8,True,,A,1.9028,2.3159,0.7135301675911296,0.824007527242383,0.7472296084968828,0.9289374159018305,0.4961839897644664,0.8624105165235445,0.8396014035930862,1.0043474330263988,0
200,9,True,,A,2.2031,1.9033,0.5611564838249796,0.8045608210438155,0.48741056016089246,0.8359588784971479,0.36429491285540055,0.7281894981022093,0.6424195910174509,0.9805927832564983,0
225,2,True,,A,1.5293,1.396,0.8984386008970144,0.8752020518875577,0.8623291631687178,0.9165296077326106,0.669067085146394,0.9629235262939038,0.8296181074334193,0.9673919534350381,0
225,3,True,,A,1.6494,1.7246,0.8738920959894508,0.8694274369119231,0.8113585367260766,0.8984505315382152,0.7945496494736195,0.9332834679354147,0.8352725197981656,0.9484883212343674,0
225,4,True,,A,1.7114,1.6895,0.7032494461819482,0.8436310245659601,0.745629108141426,0.9457644790323918,0.549068302666193,0.8372277374814113,0.8821766632363454,1.0179092994071346,0
225,5,True,,A,1.9624,1.7812,0.7411532090611914,0.7878629319710443,0.634922005520058,0.8215453218285154,0.522570323331991,0.864930544332682,0.6762528158061663,0.9437058429803159,0
