step,layer,split,num_parts,part_tokens,mean_pairwise_correlation,min_pairwise_correlation,mean_pairwise_linf,bias_correlation_full,mean_bias_correlation_parts
0,2,stride,2,8192,0.9976891123387007,0.9976891123387007,0.006283292546868324,nan,nan
0,3,stride,2,8192,0.9987642237876064,0.9987642237876064,0.008574534207582474,nan,nan
0,4,stride,2,8192,0.9992511809281859,0.9992511809281859,0.006087897345423698,nan,nan
0,5,stride,2,8192,0.9992770289604496,0.9992770289604496,0.008235046174377203,nan,nan
0,6,stride,2,8192,0.9995667429831394,0.9995667429831394,0.006980903446674347,nan,nan
0,7,stride,2,8192,0.9993822363566766,0.9993822363566766,0.008296729065477848,nan,nan
0,8,stride,2,8192,0.9995855273943766,0.9995855273943766,0.005306268576532602,nan,nan
0,9,stride,2,8192,0.9996479810497372,0.9996479810497372,0.006988423876464367,nan,nan
25,2,stride,2,8192,0.999592559831471,0.999592559831471,0.0037246798165142536,0.5411790224031159,0.5408600106608245
25,3,stride,2,8192,0.9998339829084409,0.9998339829084409,0.0032234438695013523,0.4769632672221754,0.47695696382017505
25,4,stride,2,8192,0.9998809521300007,0.9998809521300007,0.0027418392710387707,0.6071876255416276,0.6070201518472915
25,5,stride,2,8192,0.9997947452299724,0.9997947452299724,0.006818251684308052,0.772133432614197,0.772179739111558
25,6,stride,2,8192,0.999970135861789,0.999970135861789,0.0016850909451022744,0.6523019720491783,0.6522301340999963
25,7,stride,2,8192,0.9999679549387146,0.9999679549387146,0.0017932135378941894,0.7055258861997258,0.7055296562242699
25,8,stride,2,8192,0.9999842927300158,0.9999842927300158,0.0020396775798872113,0.8471642146749749,0.8471197334593671
25,9,stride,2,8192,0.9999929747102397,0.9999929747102397,0.0014508217573165894,0.8512236736468037,0.851200449735437
50,2,stride,2,8192,0.9993417995593691,0.9993417995593691,0.005388781311921775,0.8644553898437137,0.8643611974790941
50,3,stride,2,8192,0.9996588834308086,0.9996588834308086,0.013961830649350304,0.7111704801824554,0.7110934408362655
50,4,stride,2,8192,0.9998688642199366,0.9998688642199366,0.005430330682429485,0.8000069453460942,0.8001781646863922
50,5,stride,2,8192,0.9998330582943783,0.9998330582943783,0.004350078070274321,0.833840770033905,0.8336836200989948
50,6,stride,2,8192,0.9998051855725156,0.9998051855725156,0.009325195656856522,0.7992351919963193,0.799238674500202
50,7,stride,2,8192,0.9998997496638287,0.9998997496638287,0.002846994648280088,0.8570099432782222,0.8569197763287424
50,8,stride,2,8192,0.9999573198452767,0.9999573198452767,0.0031153437303146347,0.7821852559365373,0.7823431299437626
50,9,stride,2,8192,0.9999369007937406,0.9999369007937406,0.002008163915888872,0.8891178172549793,0.8890170766431937
75,2,stride,2,8192,0.9987848692692435,0.9987848692692435,0.005217243488004897,0.8946419497711983,0.8944156276464157
75,3,stride,2,8192,0.9994942107590319,0.9994942107590319,0.006254882099710812,0.9148613501173561,0.9147491672792127
75,4,stride,2,8192,0.9996851551452792,0.9996851551452792,0.004928388906591863,0.93489337018901,0.93498930696466
75,5,stride,2,8192,0.9997065391918409,0.9997065391918409,0.005377255279199744,0.9000480622000292,0.9002662658806283
75,6,stride,2,8192,0.9995843443762402,0.9995843443762402,0.006004105044667085,0.903661213465776,0.9034277054726962
75,7,stride,2,8192,0.999833891193552,0.999833891193552,0.0034300076031286153,0.8949854449396221,0.8949404638969061
75,8,stride,2,8192,0.9998922192112534,0.9998922192112534,0.0024718387930988683,0.8285138513966652,0.8285523592155958
75,9,stride,2,8192,0.9998477422631038,0.9998477422631038,0.004213954797251063,0.8836890460887439,0.8840231132045839
100,2,stride,2,8192,0.9987123323930324,0.9987123323930324,0.005532898065212066,0.8394538620614674,0.8387072823305861
