unit,run,asset,half,layer,expert,price,bias
a/strided/h1,a,strided,h1,3,16,-0.0490547267,-0.00424766541
a/strided/h1,a,strided,h1,3,17,0.0132456175,0.00374794006
a/strided/h1,a,strided,h1,3,18,0.0156476965,0.00274848938
a/strided/h1,a,strided,h1,3,19,0.00462201073,-0.00424766541
a/strided/h1,a,strided,h1,3,20,0.0127609726,0.00574684143
a/strided/h1,a,strided,h1,3,21,-0.0188201522,-0.0102443695
a/strided/h1,a,strided,h1,3,22,0.00547275713,0.00274848938
a/strided/h1,a,strided,h1,3,23,0.00830908024,-0.00424766541
a/strided/h1,a,strided,h1,3,24,0.0154991941,0.00874519348
a/strided/h1,a,strided,h1,3,25,0.0126408313,0.0077457428
a/strided/h1,a,strided,h1,3,26,0.0131926164,0.0017490387
a/strided/h1,a,strided,h1,3,27,-0.0025241757,-0.000249862671
a/strided/h1,a,strided,h1,3,28,-0.00865541447,-0.00824546814
a/strided/h1,a,strided,h1,3,29,0.0123685854,0.00274848938
a/strided/h1,a,strided,h1,3,30,-0.0628779102,0.0017490387
a/strided/h1,a,strided,h1,3,31,0.00909125989,-0.000249862671
a/strided/h1,a,strided,h1,3,32,0.00125818348,-0.00424766541
a/strided/h1,a,strided,h1,3,33,0.00195609869,0.00474739075
a/strided/h1,a,strided,h1,3,34,0.00512931773,-0.00224876404
a/strided/h1,a,strided,h1,3,35,0.0142641293,0.00674629211
a/strided/h1,a,strided,h1,3,36,-0.00350919927,0.000749588013
a/strided/h1,a,strided,h1,3,37,0.00920233501,-0.00124931335
a/strided/h1,a,strided,h1,3,38,0.00952939803,-0.00224876404
a/strided/h1,a,strided,h1,3,39,0.0114328246,-0.00124931335
a/strided/h1,a,strided,h1,3,40,0.00953090747,0.0017490387
a/strided/h1,a,strided,h1,3,41,0.00151499009,-0.00324821472
a/strided/h1,a,strided,h1,3,42,0.000509018289,-0.00824546814
a/strided/h1,a,strided,h1,3,43,0.0101524805,0.0017490387
a/strided/h1,a,strided,h1,3,44,0.000271417412,0.000749588013
a/strided/h1,a,strided,h1,3,45,-0.00788978094,-0.0112438202
a/strided/h1,a,strided,h1,3,46,-0.00811511373,-0.0112438202
a/strided/h1,a,strided,h1,3,47,0.00379059089,0.00574684143
a/strided/h1,a,strided,h1,3,48,0.00614977928,0.00874519348
a/strided/h1,a,strided,h1,3,49,0.0151776764,0.0077457428
a/strided/h1,a,strided,h1,3,50,0.0013163192,-0.00124931335
a/strided/h1,a,strided,h1,3,51,-0.0203071998,-0.00324821472
a/strided/h1,a,strided,h1,3,52,0.00238877905,-0.00724601746
a/strided/h1,a,strided,h1,3,53,-0.00856413951,-0.00624656677
a/strided/h1,a,strided,h1,3,54,0.00777176975,0.0017490387
a/strided/h1,a,strided,h1,3,55,0.00642395786,0.000749588013
a/strided/h1,a,strided,h1,3,56,-0.00939387621,-0.00324821472
a/strided/h1,a,strided,h1,3,57,-0.0201316204,0.0017490387
a/strided/h1,a,strided,h1,3,58,0.00589705443,0.00374794006
a/strided/h1,a,strided,h1,3,59,-0.00842296684,0.000749588013
a/strided/h1,a,strided,h1,3,60,0.0160470609,0.00274848938
a/strided/h1,a,strided,h1,3,61,0.0086330103,0.000749588013
a/strided/h1,a,strided,h1,3,62,0.0153027421,0.00574684143
a/strided/h1,a,strided,h1,3,63,-0.00179040155,-0.00124931335
a/strided/h1,a,strided,h1,4,0,-0.00197520376,-0.00413835049
a/strided/h1,a,strided,h1,4,1,0.00236708401,0.000858902931
a/strided/h1,a,strided,h1,4,2,0.00887187627,0.00185835361
a/strided/h1,a,strided,h1,4,3,0.000508964162,-0.00513780117
a/strided/h1,a,strided,h1,4,4,-0.000313058395,-0.000140547752
a/strided/h1,a,strided,h1,4,5,-0.0161867811,-0.00513780117
a/strided/h1,a,strided,h1,4,6,0.00266995466,-0.00413835049
a/strided/h1,a,strided,h1,4,7,-0.00370968694,-0.00113999844
a/strided/h1,a,strided,h1,4,8,0.00639020336,-0.00213944912
a/strided/h1,a,strided,h1,4,9,0.00907224229,0.00385725498
a/strided/h1,a,strided,h1,4,10,0.0129399752,-0.000140547752
a/strided/h1,a,strided,h1,4,11,0.00638017895,0.00485670567
a/strided/h1,a,strided,h1,4,12,0.000687968086,-0.000140547752
a/strided/h1,a,strided,h1,4,13,0.00797714862,0.0028578043
a/strided/h1,a,strided,h1,4,14,-0.00854471549,-0.00213944912
a/strided/h1,a,strided,h1,4,15,-0.00388062083,-0.000140547752
a/strided/h1,a,strided,h1,4,16,0.00456879752,-0.0031388998
a/strided/h1,a,strided,h1,4,17,0.00819979618,-0.00113999844
a/strided/h1,a,strided,h1,4,18,-0.000439517216,-0.0031388998
a/strided/h1,a,strided,h1,4,19,0.0118574482,0.00485670567
a/strided/h1,a,strided,h1,4,20,-0.010457606,0.000858902931
a/strided/h1,a,strided,h1,4,21,0.00948271526,0.00385725498
a/strided/h1,a,strided,h1,4,22,-0.0556822441,-0.00513780117
a/strided/h1,a,strided,h1,4,23,0.00752902786,-0.00113999844
a/strided/h1,a,strided,h1,4,24,9.09456121e-05,-0.0031388998
a/strided/h1,a,strided,h1,4,25,0.0049417737,-0.0031388998
a/strided/h1,a,strided,h1,4,26,0.0100985785,-0.00613725185
a/strided/h1,a,strided,h1,4,27,0.00755924823,-0.000140547752
