dump,step,part,layer,tokens,balanced_load,max_load_over_balanced,min_load_over_balanced,argmax_expert,dead_experts
artifacts/exp1/crossprobe/b_strided/probes/iter_0000000.npz,0,u1,6,16384,2048.0,2.25927734375,0.275390625,5,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000000.npz,0,u1,7,16384,2048.0,2.16796875,0.4033203125,16,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000000.npz,0,u1,8,16384,2048.0,1.70263671875,0.43505859375,2,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000000.npz,0,u1,9,16384,2048.0,1.97119140625,0.2939453125,50,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u0,2,16384,2048.0,3.240234375,0.3623046875,19,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u0,3,16384,2048.0,4.53857421875,0.205078125,30,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u0,4,16384,2048.0,4.93798828125,0.357421875,33,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u0,5,16384,2048.0,5.47509765625,0.29541015625,62,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u0,6,16384,2048.0,2.99365234375,0.2138671875,53,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u0,7,16384,2048.0,3.8251953125,0.24462890625,5,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u0,8,16384,2048.0,5.41064453125,0.2470703125,18,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u0,9,16384,2048.0,3.53955078125,0.16845703125,7,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u1,2,16384,2048.0,1.48828125,0.359375,31,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u1,3,16384,2048.0,1.67626953125,0.42626953125,30,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u1,4,16384,2048.0,1.6259765625,0.36376953125,33,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u1,5,16384,2048.0,1.61328125,0.3408203125,35,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u1,6,16384,2048.0,2.25830078125,0.275390625,5,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u1,7,16384,2048.0,2.16845703125,0.4033203125,16,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u1,8,16384,2048.0,1.7021484375,0.4365234375,2,0
artifacts/exp1/crossprobe/b_strided/probes/iter_0000001.npz,1,u1,9,16384,2048.0,1.96728515625,0.29296875,50,0
