run_id,asset,unit,layer,step,status,detail,score_function,admissible,max_load_over_balanced,dead_experts,token_sha256,dump_path,dual_0,dual_1,dual_2,dual_3,dual_4,dual_5,dual_6,dual_7,dual_8,dual_9,dual_10,dual_11,dual_12,dual_13,dual_14,dual_15,dual_16,dual_17,dual_18,dual_19,dual_20,dual_21,dual_22,dual_23,dual_24,dual_25,dual_26,dual_27,dual_28,dual_29,dual_30,dual_31,dual_32,dual_33,dual_34,dual_35,dual_36,dual_37,dual_38,dual_39,dual_40,dual_41,dual_42,dual_43,dual_44,dual_45,dual_46,dual_47,dual_48,dual_49,dual_50,dual_51,dual_52,dual_53,dual_54,dual_55,dual_56,dual_57,dual_58,dual_59,dual_60,dual_61,dual_62,dual_63
a,standing_climbmix_small_16x2048,u0,2,0,ok,,sigmoid,True,1.53662109375,0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,-0.039746411610394716,-0.03698747977614403,-0.038260641507804394,-0.03923076391220093,-0.03966886969283223,-0.019995706155896187,-0.02126776147633791,-0.04231750685721636,-0.020266232080757618,-0.026738409884274006,-0.029418833553791046,-0.03442918509244919,-0.025920954532921314,-0.023219989612698555,-0.025894397869706154,-0.03428790345788002,-0.17710599768906832,-0.03296228777617216,-0.02847022470086813,-0.017822245601564646,-0.025721998885273933,-0.03397898096591234,-0.03227552957832813,-0.02870556339621544,-0.03549540601670742,-0.021575546823441982,-0.02100792806595564,-0.03253710176795721,-0.028557256795465946,-0.0386635554023087,-0.03875734005123377,-0.0435474868863821,-0.02223067358136177,-0.028476512990891933,-0.020759426057338715,-0.046735682524740696,-0.02836676361039281,-0.03102392517030239,-0.025359335355460644,-0.018077040556818247,-0.026165487244725227,-0.06391572300344706,-0.017811814323067665,-0.030173505190759897,-0.03710561525076628,-0.039431776851415634,-0.022000685334205627,-0.057643549516797066,-0.032695564441382885,-0.04197504743933678,-0.016201871447265148,-0.03655037842690945,-0.03969770297408104,-0.025809244718402624,-0.027627181261777878,-0.02877628430724144,-0.022683676797896624,-0.030568746849894524,-0.08016709890216589,-0.04117730725556612,-0.022983898408710957,-0.02762726740911603,-0.04813113156706095,-0.02700381586328149
a,standing_climbmix_small_16x2048,u0,3,0,ok,,sigmoid,True,1.580078125,0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,-0.028181481175124645,-0.03062261827290058,-0.016739994985982776,-0.01704219332896173,-0.03191157151013613,-0.028189576463773847,-0.030007492750883102,-0.019704964943230152,-0.029215839225798845,-0.032404881436377764,-0.020247789099812508,-0.019517694134265184,-0.023356772027909756,-0.019434313289821148,-0.020371709717437625,-0.018604006618261337,-0.018483821535483003,-0.017934145405888557,-0.03165534441359341,-0.016633975552394986,-0.01922290399670601,-0.034124207217246294,-0.01689280802384019,-0.04371319222263992,-0.01583665143698454,-0.019343586172908545,-0.026859130011871457,-0.027147941756993532,-0.041839574463665485,-0.041248038643971086,-0.01839176448993385,-0.027251153253018856,-0.018923114286735654,-0.026113800471648574,-0.03704184526577592,-0.01563530624844134,-0.02237271796911955,-0.01564649655483663,-0.041355902096256614,-0.025366411544382572,-0.033476468874141574,-0.043098692782223225,-0.04510847758501768,-0.024647747399285436,-0.026806410402059555,-0.05118843028321862,-0.028234693221747875,-0.019363688305020332,-0.014939341228455305,-0.01929034315980971,-0.03325338801369071,-0.026990978978574276,-0.039040346164256334,-0.03479157481342554,-0.027843259973451495,-0.03473669942468405,-0.021884114481508732,-0.023023071000352502,-0.02529433462768793,-0.017315221717581153,-0.03741904580965638,-0.04019039170816541,-0.017570221796631813,-0.02989635872654617
a,standing_climbmix_small_16x2048,u0,4,0,ok,,sigmoid,True,1.8583984375,0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,-0.03189533483237028,-0.01739066932350397,-0.02864046418108046,-0.03266900242306292,-0.022176075726747513,-0.018445854308083653,-0.018556063761934638,-0.027389266528189182,-0.025939736515283585,-0.027526399353519082,-0.036027283407747746,-0.015115603571757674,-0.02077225618995726,-0.020119170658290386,-0.018513157265260816,-0.023746885592117906,-0.021550009958446026,-0.022403703536838293,-0.01902775396592915,-0.03067821334116161,-0.014514746144413948,-0.021868287585675716,-0.026039482094347477,-0.022162591107189655,-0.03316462133079767,-0.03888255381025374,-0.03272015298716724,-0.04049394093453884,-0.01255009532906115,-0.023230147548019886,-0.03757582698017359,-0.015893109142780304,-0.02329561999067664,-0.012920192442834377,-0.024934627348557115,-0.026488266419619322,-0.012959457002580166,-0.03130943072028458,-0.026121672242879868,-0.01257705525495112,-0.027824620716273785,-0.020901459036394954,-0.03111281036399305,-0.024002921069040895,-0.012005656491965055,-0.01724711526185274,-0.019975956762209535,-0.01883212965913117,-0.028248669812455773,-0.0157486901152879,-0.03313476103357971,-0.024252956034615636,-0.02353161876089871,-0.03481782064773142,-0.027124260552227497,-0.04009048221632838,-0.021992858732119203,-0.013649983331561089,-0.016766873421147466,-0.023635645862668753,-0.03382609155960381,-0.048099297331646085,-0.014012234285473824,-0.03619312332011759
a,standing_climbmix_small_16x2048,u0,5,0,ok,,sigmoid,True,1.78955078125,0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,-0.016917158383876085,-0.021932769333943725,-0.021304434165358543,-0.026198840234428644,-0.030495255952700973,-0.028276462107896805,-0.019804902374744415,-0.01269507734104991,-0.01622011698782444,-0.023200502851977944,-0.015283761313185096,-0.02691500633955002,-0.019173392560333014,-0.015010000206530094,-0.053662882186472416,-0.02653552801348269,-0.0167883038520813,-0.020853989757597446,-0.014228163287043571,-0.025646289810538292,-0.013716325396671891,-0.019162854179739952,-0.019448424922302365,-0.01918327435851097,-0.014642516151070595,-0.022159183397889137,-0.05085876048542559,-0.01537511614151299,-0.028206028509885073,-0.02147135278210044,-0.037453975761309266,-0.03684339299798012,-0.04042014270089567,-0.02120677148923278,-0.016923275776207447,-0.03157255984842777,-0.02968313521705568,-0.013144436292350292,-0.020957026863470674,-0.030394472181797028,-0.01683189393952489,-0.011289166985079646,-0.01324287336319685,-0.023915248224511743,-0.015360730001702905,-0.027063408866524696,-0.03339041583240032,-0.014690968440845609,-0.0271170474588871,-0.04317951062694192,-0.022109129931777716,-0.026319226250052452,-0.017995323287323117,-0.020664255833253264,-0.03402889147400856,-0.012311330996453762,-0.057646864326670766,-0.013207280542701483,-0.028424439718946815,-0.025991526897996664,-0.015569383278489113,-0.0145034771412611,-0.01287936046719551,-0.017574344761669636
a,standing_climbmix_small_16x2048,u0,6,0,ok,,sigmoid,True,1.75341796875,0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,-0.022858901880681515,-0.04378239065408707,-0.03781356196850538,-0.03209820110350847,-0.045043966732919216,-0.024278948083519936,-0.01812753453850746,-0.026460284367203712,-0.01659928262233734,-0.019607563503086567,-0.01707544643431902,-0.03041389212012291,-0.015450750011950731,-0.014849117491394281,-0.016237234696745872,-0.019719562493264675,-0.027258831076323986,-0.031582990661263466,-0.029548379592597485,-0.018206351436674595,-0.03145527560263872,-0.015554266981780529,-0.021039375104010105,-0.013053534552454948,-0.01599473087117076,-0.019230900332331657,-0.014771214686334133,-0.03172449907287955,-0.03513063257560134,-0.019826342817395926,-0.017143546603620052,-0.028804480098187923,-0.04526496399194002,-0.0320976241491735,-0.023415873758494854,-0.04050277918577194,-0.030647659208625555,-0.016011466272175312,-0.027058549225330353,-0.03876275522634387,-0.015873233787715435,-0.01616258779540658,-0.03703064192086458,-0.01597547484561801,-0.02854420756921172,-0.027856570668518543,-0.05220446735620499,-0.01928143110126257,-0.04463279154151678,-0.01471719704568386,-0.018698672764003277,-0.018888126127421856,-0.01983777992427349,-0.024153051432222128,-0.0144026018679142,-0.04258762439712882,-0.013530486263334751,-0.01510452851653099,-0.047204794362187386,-0.027034920640289783,-0.022074135951697826,-0.03699017781764269,-0.015517755411565304,-0.02392392512410879
a,standing_climbmix_small_16x2048,u0,7,0,ok,,sigmoid,True,1.9580078125,0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,-0.016610189341008663,-0.05161096062511206,-0.01547241723164916,-0.07468162570148706,-0.016383360140025616,-0.015518242493271828,-0.022708113305270672,-0.07505607744678855,-0.029616271145641804,-0.011894412338733673,-0.012434605974704027,-0.013752751518040895,-0.025169767905026674,-0.015255592297762632,-0.02598783513531089,-0.014843553304672241,-0.028834668919444084,-0.017067700624465942,-0.027887113392353058,-0.013169221580028534,-0.029124499298632145,-0.02543495874851942,-0.059924352914094925,-0.021231613121926785,-0.046805353835225105,-0.04404950328171253,-0.02464554738253355,-0.020294897258281708,-0.0398406945168972,-0.03750882390886545,-0.017375178635120392,-0.03590749390423298,-0.039543567690998316,-0.031448510475456715,-0.03661111369729042,-0.018854997120797634,-0.026476147584617138,-0.014192956034094095,-0.01743466593325138,-0.012991865165531635,-0.02191134262830019,-0.03583631245419383,-0.022289764136075974,-0.023368626832962036,-0.04551587626338005,-0.021871624514460564,-0.021963579580187798,-0.04407790116965771,-0.017037738114595413,-0.01606244407594204,-0.027971917763352394,-0.012624435126781464,-0.03981623612344265,-0.01846639532595873,-0.02290397835895419,-0.014027975499629974,-0.015895024873316288,-0.015824196860194206,-0.01744918106123805,-0.02305488009005785,-0.02987447055056691,-0.03629945684224367,-0.02196789998561144,-0.0192944323644042
a,standing_climbmix_small_16x2048,u0,8,0,ok,,sigmoid,True,2.111328125,0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,-0.037282347679138184,-0.022072254680097103,-0.03277826402336359,-0.03357973415404558,-0.06898779328912497,-0.04120917618274689,-0.018109792843461037,-0.036505889147520065,-0.020571578294038773,-0.01273800153285265,-0.010256001725792885,-0.01699934806674719,-0.015370373614132404,-0.02349075535312295,-0.011264719534665346,-0.01571358647197485,-0.02912715170532465,-0.03132539242506027,-0.013745577074587345,-0.019419253803789616,-0.03303504642099142,-0.017990407766774297,-0.04020159225910902,-0.03703691344708204,-0.05459499638527632,-0.022132222773507237,-0.025593207217752934,-0.028063093312084675,-0.022197885438799858,-0.01342039555311203,-0.01635353034362197,-0.05502559361048043,-0.011704746168106794,-0.0408417247235775,-0.012705422937870026,-0.01613631285727024,-0.030115299858152866,-0.0404057651758194,-0.014979657717049122,-0.02095760451629758,-0.014657754451036453,-0.016964968293905258,-0.04701870121061802,-0.019152547232806683,-0.020820937119424343,-0.03734310995787382,-0.02919746609404683,-0.0371518200263381,-0.01381920836865902,-0.018105805851519108,-0.04324950464069843,-0.015270133502781391,-0.019236641936004162,-0.013789313845336437,-0.017527255229651928,-0.014826416037976742,-0.04569821432232857,-0.01373442355543375,-0.015417991206049919,-0.02898897184059024,-0.01695963181555271,-0.031367975287139416,-0.012393122538924217,-0.0318266786634922
a,standing_climbmix_small_16x2048,u0,9,0,ok,,sigmoid,True,2.07861328125,0,327ac72122af52ba52ccc40efcfba74fd77f3459a5b820e149a966c6e9cc38a7,artifacts/exp1/crossprobe/a_tail/probes/iter_0000000.npz,-0.018404932925477624,-0.036541782319545746,-0.03253215760923922,-0.026519341859966516,-0.030374944675713778,-0.02183608408086002,-0.02734978822991252,-0.010331954807043076,-0.02890129992738366,-0.03463845560327172,-0.02604959928430617,-0.057539677480235696,-0.03553259605541825,-0.019709809683263302,-0.041039601899683475,-0.021765526849776506,-0.014980093808844686,-0.009503474342636764,-0.05723547120578587,-0.09223638591356575,-0.015931483590975404,-0.026382572948932648,-0.011333674192428589,-0.012812464963644743,-0.017571895383298397,-0.010243701748549938,-0.01174363901372999,-0.00908618001267314,-0.012552522122859955,-0.02853218838572502,-0.015195144340395927,-0.014733182732015848,-0.019590950571000576,-0.03308230277616531,-0.043823736952617764,-0.02869378123432398,-0.01410060003399849,-0.0381393083371222,-0.021737695205956697,-0.044222912983968854,-0.05149415135383606,-0.011936069466173649,-0.013990138890221715,-0.044168003369122744,-0.04492945084348321,-0.012534651439636946,-0.02049282193183899,-0.023277851287275553,-0.025027136551216245,-0.02053792867809534,-0.030770480632781982,-0.014540271833539009,-0.06463369959965348,-0.022126469993963838,-0.045643109595403075,-0.02924439124763012,-0.010820836760103703,-0.010730814188718796,-0.016670266399160028,-0.016919330693781376,-0.012211614521220326,-0.03574513737112284,-0.016063574701547623,-0.01046810660045594
a,standing_climbmix_small_strided_16x2048,u0,2,0,ok,,sigmoid,True,2.3046875,0,1b7715b489add65669e28155221f1f100d422a7f5d073e20bb75234e98ff6798,artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,-0.01615987252444029,-0.11916844081133604,-0.03252492193132639,-0.025199419353157282,-0.036376843228936195,-0.020341984927654266,-0.032059306744486094,-0.02930076140910387,-0.022867563646286726,-0.023909530602395535,-0.020497136283665895,-0.07742617418989539,-0.03054548753425479,-0.02678415272384882,-0.048408716917037964,-0.02751984167844057,-0.04081091843545437,-0.03201571339741349,-0.02028781920671463,-0.04036898072808981,-0.01727959979325533,-0.04772516153752804,-0.060384977143257856,-0.02990663656964898,-0.037424529902637005,-0.020250224508345127,-0.018310470040887594,-0.047424869146198034,-0.037552665919065475,-0.020560617092996836,-0.023250513710081577,-0.0364823411218822,-0.027534883003681898,-0.025173627771437168,-0.017851697746664286,-0.02157964464277029,-0.052317517111077905,-0.026994264218956232,-0.03887417400255799,-0.03540236875414848,-0.02702944865450263,-0.03003337373957038,-0.01680510025471449,-0.06157307792454958,-0.023777720984071493,-0.02806395525112748,-0.021620979998260736,-0.028881566133350134,-0.025481593795120716,-0.023547993507236242,-0.015115258749574423,-0.022577408701181412,-0.029860508628189564,-0.022600773721933365,-0.05770691577345133,-0.038712481036782265,-0.021100168116390705,-0.034927035216242075,-0.04103771038353443,-0.0346990660764277,-0.02990427752956748,-0.01742796041071415,-0.04368228930979967,-0.0236054640263319
a,standing_climbmix_small_strided_16x2048,u1,2,0,ok,,sigmoid,True,1.58154296875,0,1b7715b489add65669e28155221f1f100d422a7f5d073e20bb75234e98ff6798,artifacts/exp1/crossprobe/a_strided/probes/iter_0000000.npz,-0.023780952440574765,-0.0440117830876261,-0.04524250887334347,-0.028538917424157262,-0.0353776675183326,-0.01854690653271973,-0.02510119299404323,-0.03649561386555433,-0.020181888015940785,-0.02278005820699036,-0.02250871271826327,-0.03772314637899399,-0.02764316857792437,-0.022802590625360608,-0.02913684048689902,-0.03217477654106915,-0.1539802469778806,-0.03568436694331467,-0.028037940384820104,-0.024731106124818325,-0.026394818210974336,-0.04073019209317863,-0.03289268002845347,-0.02849222649820149,-0.033472948940470815,-0.020869451807811856,-0.020028196508064866,-0.03401691094040871,-0.027417533099651337,-0.03299144306220114,-0.03463033516891301,-0.04811731562949717,-0.024284597719088197,-0.02795173297636211,-0.02084781602025032,-0.03339616977609694,-0.03159472066909075,-0.02924967766739428,-0.03099021245725453,-0.020353782223537564,-0.028453947277739644,-0.05653143464587629,-0.01718833134509623,-0.0407144979108125,-0.036573434015735984,-0.02912455261684954,-0.019502062583342195,-0.04729558085091412,-0.030161814065650105,-0.036922872764989734,-0.015404579928144813,-0.0335974080953747,-0.03703541145659983,-0.022602968849241734,-0.032117538154125214,-0.03879459132440388,-0.019482125528156757,-0.030555122764781117,-0.04016254120506346,-0.046883533941581845,-0.02430385909974575,-0.027397041441872716,-0.04396116826683283,-0.02865625568665564
