step,layer,admissible,refused_reason,bias_from,load_ratio_tail,load_ratio_strided,rho,corr_bias_tail,corr_bias_strided,kappa,rho_boot_low,rho_boot_high,kappa_boot_low,kappa_boot_high,kappa_boot_undefined
475,5,True,,A,2.0923,1.6895,0.7804188389987984,0.6869039361284295,0.5544256870319195,0.6985633583118794,0.6350351320811762,0.8706779391449262,0.46069341723082285,0.8600579545962124,0
475,6,True,,A,1.8564,1.9653,0.7481836675182149,0.7129255427802185,0.6625375493117339,0.7945536447541368,0.6265969327904821,0.8437789136748811,0.690293168231404,0.8814858119852929,0
475,7,True,,A,2.0352,2.1309,0.5041158065878355,0.7367977221999307,0.5469718966010879,0.8941110994617762,0.3135546416396249,0.7260961091367996,0.7446747060499924,1.0877357315942127,0
475,8,True,,A,2.2666,1.8584,0.5550459348509561,0.7363966778286664,0.555979790332574,0.8588571784036704,0.38131081737465417,0.733918707732157,0.7251609462873371,0.9784161318195754,0
475,9,True,,A,2.189,2.0425,0.5672517914134351,0.7526280879369419,0.48131921909272174,0.7991326496175286,0.3023115218170451,0.8065554724979727,0.5551937686095663,0.9714890293881138,6
500,2,True,,A,1.5366,1.4883,0.923297649718687,0.9045756407101897,0.8662827355582132,0.9212582898666186,0.6336436053077082,0.9786844489186802,0.6962797687495029,0.9725806368096553,0
500,3,True,,A,1.5801,1.6763,0.8273425001957112,0.6422840713796665,0.6015295351184815,0.6833597365682097,0.7452430488122632,0.8975490336629677,0.49376158427093697,0.8200214195247107,0
500,4,True,,A,1.8584,1.6255,0.6289257125654468,0.42540400736162237,0.4998746269376438,0.581475819745722,0.47824163834776995,0.7752035678522322,0.33774424725248614,0.7632574320618092,1
500,5,True,,A,1.7876,1.6138,0.7705614220718362,0.7270212070554912,0.5997100281609562,0.752212530971173,0.6244911421496286,0.8619327844984391,0.5371389331361597,0.8810857218532362,0
500,6,True,,A,1.7549,2.2578,0.7251322375419403,0.7566858727043694,0.6209023862655966,0.8049351094833757,0.582452538335054,0.8363369428258628,0.7015058551439521,0.8894885992048034,0
500,7,True,,A,1.9575,2.165,0.5109833972769143,0.8146430314491878,0.5942265744222326,0.9733214932405255,0.33119918041599294,0.7195742893284167,0.8749241308807043,1.1077211113431626,0
500,8,True,,A,2.1118,1.7021,0.5444322992688599,0.806645759567018,0.5786581634587709,0.9259350595158565,0.3729194429288387,0.7272043930832529,0.7939510970707631,1.0417696821377567,0
500,9,True,,A,2.082,1.9678,0.5528567013702613,0.8015211363850723,0.4359526799248149,0.7950068605514069,0.3181715000230721,0.7856443042377067,0.535700464717964,0.9503482318417431,9
